,Updated,Commercial Flow,Travellers Flow
941594,2014-04-04 12:57 PDT,0,20
941595,2014-04-04 11:56 PDT,0,0
941596,2014-04-04 11:03 PDT,0,0
941597,2014-04-04 10:51 PDT,0,0
941598,2014-04-04 09:46 PDT,0,0
941599,2014-04-04 09:46 PDT,0,0
941600,2014-04-04 07:47 PDT,0,0
941601,2014-04-04 06:46 PDT,0,0
941602,2014-04-04 05:58 PDT,0,0
941603,2014-04-04 04:48 PDT,0,0
941604,2014-04-04 03:47 PDT,0,0
941605,2014-04-04 02:47 PDT,0,0
941606,2014-04-04 02:13 PDT,0,0
941607,2014-04-04 01:46 PDT,0,0
941608,2014-04-04 00:53 PDT,0,0
941609,2014-04-04 00:14 PDT,0,0
941610,2014-04-03 23:00 PDT,0,0
941611,2014-04-03 21:47 PDT,0,10
941612,2014-04-03 20:48 PDT,0,10
941613,2014-04-03 19:57 PDT,0,0
941614,2014-04-03 18:50 PDT,0,0
941615,2014-04-03 17:50 PDT,0,20
941616,2014-04-03 16:50 PDT,0,0
941617,2014-04-03 15:47 PDT,0,30
941618,2014-04-03 14:53 PDT,0,20
941619,2014-04-03 13:54 PDT,0,10
941620,2014-04-03 12:56 PDT,0,0
941621,2014-04-03 11:45 PDT,0,0
941622,2014-04-03 11:06 PDT,0,0
941623,2014-04-03 10:59 PDT,0,0
941624,2014-04-03 09:58 PDT,0,0
941625,2014-04-03 08:58 PDT,0,0
941626,2014-04-03 07:58 PDT,0,0
941627,2014-04-03 06:57 PDT,0,0
941628,2014-04-03 05:59 PDT,0,0
941629,2014-04-03 04:59 PDT,0,0
941630,2014-04-03 04:17 PDT,0,0
941631,2014-04-03 03:59 PDT,0,0
941632,2014-04-03 03:03 PDT,0,0
941633,2014-04-03 01:53 PDT,0,0
941634,2014-04-03 00:53 PDT,0,0
941635,2014-04-02 23:52 PDT,0,0
941636,2014-04-02 22:54 PDT,0,0
941637,2014-04-02 21:54 PDT,0,0
941638,2014-04-02 20:54 PDT,0,10
941639,2014-04-02 19:56 PDT,0,10
941640,2014-04-02 18:53 PDT,0,10
941641,2014-04-02 17:53 PDT,0,20
941642,2014-04-02 17:09 PDT,0,30
941643,2014-04-02 15:48 PDT,0,0
941644,2014-04-02 14:48 PDT,0,0
941645,2014-04-02 13:48 PDT,0,0
941646,2014-04-02 12:47 PDT,0,10
941647,2014-04-02 11:47 PDT,0,0
941648,2014-04-02 11:04 PDT,0,0
941649,2014-04-02 10:47 PDT,0,0
941650,2014-04-02 10:47 PDT,0,0
941651,2014-04-02 09:47 PDT,0,0
941652,2014-04-02 08:47 PDT,0,0
941653,2014-04-02 07:47 PDT,0,0
941654,2014-04-02 06:47 PDT,0,0
941655,2014-04-02 05:46 PDT,0,0
941656,2014-04-02 04:46 PDT,0,0
941657,2014-04-02 03:50 PDT,0,0
941658,2014-04-02 03:48 PDT,0,0
941659,2014-04-02 02:56 PDT,0,0
941660,2014-04-02 01:46 PDT,0,0
941661,2014-04-02 00:51 PDT,0,0
941662,2014-04-01 23:54 PDT,0,0
941663,2014-04-01 23:10 PDT,0,10
941664,2014-04-01 21:48 PDT,0,0
941665,2014-04-01 20:48 PDT,0,20
941666,2014-04-01 19:54 PDT,0,0
941667,2014-04-01 18:55 PDT,0,20
941668,2014-04-01 17:47 PDT,0,10
941669,2014-04-01 16:53 PDT,0,10
941670,2014-04-01 15:51 PDT,0,0
941671,2014-04-01 15:03 PDT,0,10
941672,2014-04-01 14:05 PDT,0,0
941673,2014-04-01 12:57 PDT,0,10
941674,2014-04-01 12:01 PDT,0,0
941675,2014-04-01 10:54 PDT,0,0
941676,2014-04-01 09:50 PDT,0,0
941677,2014-04-01 09:45 PDT,0,0
941678,2014-04-01 08:55 PDT,0,0
941679,2014-04-01 08:01 PDT,0,0
941680,2014-04-01 07:11 PDT,0,0
941681,2014-04-01 06:49 PDT,0,0
941682,2014-04-01 05:51 PDT,0,0
941683,2014-04-01 05:47 PDT,0,0
941684,2014-04-01 05:00 PDT,0,0
941685,2014-04-01 03:49 PDT,0,0
941686,2014-04-01 02:55 PDT,0,0
941687,2014-04-01 01:49 PDT,0,0
941688,2014-04-01 00:49 PDT,0,0
941689,2014-03-31 23:49 PDT,0,10
941690,2014-03-31 23:05 PDT,0,0
941691,2014-03-31 21:49 PDT,0,0
941692,2014-03-31 20:49 PDT,0,0
941693,2014-03-31 19:56 PDT,0,20
941694,2014-03-31 18:48 PDT,0,30
941695,2014-03-31 17:56 PDT,0,30
941696,2014-03-31 16:56 PDT,0,20
941697,2014-03-31 15:48 PDT,0,30
941698,2014-03-31 14:48 PDT,0,30
941699,2014-03-31 13:50 PDT,0,30
941700,2014-03-31 12:48 PDT,0,20
941701,2014-03-31 11:48 PDT,0,0
941702,2014-03-31 11:02 PDT,0,0
941703,2014-03-31 11:01 PDT,0,0
941704,2014-03-31 11:01 PDT,0,0
941705,2014-03-31 08:46 PDT,0,0
941706,2014-03-31 08:04 PDT,0,0
941707,2014-03-31 07:52 PDT,0,0
941708,2014-03-31 07:12 PDT,0,0
941709,2014-03-31 07:00 PDT,0,0
941710,2014-03-31 06:09 PDT,0,0
941711,2014-03-31 05:53 PDT,0,0
941712,2014-03-31 04:54 PDT,0,0
941713,2014-03-31 04:47 PDT,0,0
941714,2014-03-31 03:55 PDT,0,0
941715,2014-03-31 03:55 PDT,0,0
941716,2014-03-31 03:55 PDT,0,0
941717,2014-03-31 01:54 PDT,0,0
941718,2014-03-31 00:55 PDT,0,0
941719,2014-03-30 23:53 PDT,0,0
941720,2014-03-30 23:05 PDT,0,10
941721,2014-03-30 21:51 PDT,0,0
941722,2014-03-30 20:55 PDT,0,20
941723,2014-03-30 19:55 PDT,0,45
941724,2014-03-30 18:54 PDT,0,20
941725,2014-03-30 17:52 PDT,0,10
941726,2014-03-30 16:50 PDT,0,30
941727,2014-03-30 16:01 PDT,0,20
941728,2014-03-30 14:52 PDT,0,10
941729,2014-03-30 13:52 PDT,0,10
941730,2014-03-30 12:53 PDT,0,10
