,Updated,Commercial Flow,Travellers Flow
981416,2014-04-04 13:01 PDT,0,0
981417,2014-04-04 12:04 PDT,0,0
981418,2014-04-04 11:01 PDT,0,0
981419,2014-04-04 11:01 PDT,0,0
981420,2014-04-04 00:45 PDT,0,0
981421,2014-04-03 23:45 PDT,0,0
981422,2014-04-03 22:45 PDT,0,0
981423,2014-04-03 21:45 PDT,0,0
981424,2014-04-03 20:45 PDT,0,0
981425,2014-04-03 19:45 PDT,0,0
981426,2014-04-03 18:45 PDT,0,10
981427,2014-04-03 17:48 PDT,0,30
981428,2014-04-03 16:45 PDT,0,30
981429,2014-04-03 16:33 PDT,0,30
981430,2014-04-03 15:56 PDT,0,20
981431,2014-04-03 14:51 PDT,0,0
981432,2014-04-03 14:03 PDT,0,0
981433,2014-04-03 13:45 PDT,0,0
981434,2014-04-03 12:53 PDT,0,0
981435,2014-04-03 11:45 PDT,0,0
981436,2014-04-03 11:03 PDT,0,0
981437,2014-04-03 00:48 PDT,0,0
981438,2014-04-03 00:11 PDT,0,0
981439,2014-04-02 23:03 PDT,0,0
981440,2014-04-02 21:55 PDT,0,0
981441,2014-04-02 21:54 PDT,0,0
981442,2014-04-02 21:54 PDT,0,0
981443,2014-04-02 20:03 PDT,0,0
981444,2014-04-02 18:45 PDT,0,0
981445,2014-04-02 17:46 PDT,0,20
981446,2014-04-02 16:47 PDT,0,20
981447,2014-04-02 15:45 PDT,0,20
981448,2014-04-02 14:49 PDT,0,0
981449,2014-04-02 14:21 PDT,0,0
981450,2014-04-02 14:21 PDT,0,0
981451,2014-04-02 14:21 PDT,0,0
981452,2014-04-02 12:52 PDT,0,0
981453,2014-04-02 11:59 PDT,0,0
981454,2014-04-02 11:04 PDT,0,0
981455,2014-04-02 02:10 PDT,0,0
981456,2014-04-02 00:50 PDT,0,10
981457,2014-04-02 00:11 PDT,0,10
981458,2014-04-02 00:03 PDT,0,0
981459,2014-04-01 22:50 PDT,0,0
981460,2014-04-01 22:04 PDT,0,0
981461,2014-04-01 20:49 PDT,0,0
981462,2014-04-01 19:50 PDT,0,0
981463,2014-04-01 18:45 PDT,0,0
981464,2014-04-01 17:57 PDT,0,0
981465,2014-04-01 17:07 PDT,0,0
981466,2014-04-01 15:45 PDT,0,0
981467,2014-04-01 14:45 PDT,0,0
981468,2014-04-01 13:54 PDT,0,0
981469,2014-04-01 12:54 PDT,0,0
981470,2014-04-01 11:45 PDT,0,0
981471,2014-04-01 11:02 PDT,0,0
981472,2014-04-01 00:53 PDT,0,0
981473,2014-04-01 00:11 PDT,0,0
981474,2014-04-01 00:01 PDT,0,0
981475,2014-04-01 00:01 PDT,0,0
981476,2014-03-31 22:05 PDT,0,0
981477,2014-03-31 21:08 PDT,0,0
981478,2014-03-31 19:47 PDT,0,10
981479,2014-03-31 18:45 PDT,0,20
981480,2014-03-31 17:45 PDT,0,0
981481,2014-03-31 16:52 PDT,0,0
981482,2014-03-31 16:01 PDT,0,0
981483,2014-03-31 14:49 PDT,0,0
981484,2014-03-31 13:49 PDT,0,0
981485,2014-03-31 12:56 PDT,0,0
981486,2014-03-31 11:54 PDT,0,0
981487,2014-03-31 10:52 PDT,0,0
981488,2014-03-31 00:48 PDT,0,0
981489,2014-03-30 23:56 PDT,0,0
981490,2014-03-30 23:06 PDT,0,0
981491,2014-03-30 22:46 PDT,0,20
981492,2014-03-30 21:50 PDT,0,30
981493,2014-03-30 20:53 PDT,0,30
981494,2014-03-30 20:09 PDT,0,30
981495,2014-03-30 19:51 PDT,0,20
981496,2014-03-30 18:45 PDT,0,30
981497,2014-03-30 17:57 PDT,0,45
981498,2014-03-30 17:10 PDT,0,20
981499,2014-03-30 15:51 PDT,0,10
981500,2014-03-30 15:09 PDT,0,10
981501,2014-03-30 14:48 PDT,0,0
981502,2014-03-30 13:54 PDT,0,0
981503,2014-03-30 12:52 PDT,0,0
981504,2014-03-30 12:25 PDT,0,0
981505,2014-03-30 12:24 PDT,0,0
981506,2014-03-30 12:24 PDT,0,0
981507,2014-03-30 10:57 PDT,0,0
981508,2014-03-30 10:57 PDT,0,0
981509,2014-03-30 01:54 PDT,0,10
981510,2014-03-30 01:11 PDT,0,20
981511,2014-03-30 01:00 PDT,0,20
981512,2014-03-30 00:57 PDT,0,0
981513,2014-03-29 23:51 PDT,0,0
981514,2014-03-29 22:49 PDT,0,10
981515,2014-03-29 21:50 PDT,0,30
981516,2014-03-29 21:01 PDT,0,45
981517,2014-03-29 20:03 PDT,0,60
981518,2014-03-29 19:06 PDT,0,60
981519,2014-03-29 17:50 PDT,0,45
981520,2014-03-29 16:54 PDT,0,30
981521,2014-03-29 16:00 PDT,0,20
981522,2014-03-29 15:46 PDT,0,10
981523,2014-03-29 14:56 PDT,0,0
981524,2014-03-29 13:48 PDT,0,0
981525,2014-03-29 12:46 PDT,0,0
981526,2014-03-29 12:02 PDT,0,0
981527,2014-03-29 11:10 PDT,0,0
981528,2014-03-29 11:10 PDT,0,0
981529,2014-03-29 00:53 PDT,0,10
981530,2014-03-28 23:48 PDT,0,10
981531,2014-03-28 22:51 PDT,0,10
981532,2014-03-28 22:11 PDT,0,10
981533,2014-03-28 22:09 PDT,0,20
981534,2014-03-28 20:53 PDT,0,20
981535,2014-03-28 19:48 PDT,0,45
981536,2014-03-28 18:51 PDT,0,30
981537,2014-03-28 17:55 PDT,0,20
981538,2014-03-28 16:45 PDT,0,20
981539,2014-03-28 15:55 PDT,0,20
981540,2014-03-28 14:48 PDT,0,0
981541,2014-03-28 13:49 PDT,0,0
981542,2014-03-28 12:46 PDT,0,0
981543,2014-03-28 11:54 PDT,0,0
981544,2014-03-28 11:07 PDT,0,0
981545,2014-03-28 00:45 PDT,0,0
981546,2014-03-27 23:45 PDT,0,20
981547,2014-03-27 23:44 PDT,0,20
981548,2014-03-27 22:45 PDT,0,45
981549,2014-03-27 21:48 PDT,0,45
981550,2014-03-27 20:45 PDT,0,45
981551,2014-03-27 19:48 PDT,0,45
981552,2014-03-27 19:03 PDT,0,20
981553,2014-03-27 18:56 PDT,0,20
981554,2014-03-27 17:47 PDT,0,20
981555,2014-03-27 16:45 PDT,0,0
981556,2014-03-27 15:54 PDT,0,0
981557,2014-03-27 14:45 PDT,0,0
981558,2014-03-27 13:48 PDT,0,0
981559,2014-03-27 12:49 PDT,0,0
981560,2014-03-27 11:55 PDT,0,0
981561,2014-03-27 11:02 PDT,0,0
981562,2014-03-27 00:58 PDT,0,0
981563,2014-03-26 23:58 PDT,0,30
981564,2014-03-26 23:01 PDT,0,45
981565,2014-03-26 21:50 PDT,0,45
