,Updated,Commercial Flow,Travellers Flow
568432,2014-04-04 12:54 EDT,0,0
568433,2014-04-04 12:02 EDT,0,0
568434,2014-04-04 11:55 EDT,0,0
568435,2014-04-04 11:09 EDT,0,0
568436,2014-04-04 10:55 EDT,0,0
568437,2014-04-04 10:06 EDT,0,0
568438,2014-04-04 08:57 EDT,0,0
568439,2014-04-04 07:59 EDT,0,0
568440,2014-04-04 07:58 EDT,0,0
568441,2014-04-04 07:58 EDT,0,0
568442,2014-04-04 07:58 EDT,0,0
568443,2014-04-04 07:58 EDT,0,0
568444,2014-04-04 06:40 EDT,0,0
568445,2014-04-04 06:40 EDT,0,0
568446,2014-04-04 04:45 EDT,0,0
568447,2014-04-04 04:14 EDT,0,0
568448,2014-04-04 03:53 EDT,0,0
568449,2014-04-04 02:58 EDT,0,0
568450,2014-04-04 02:05 EDT,0,0
568451,2014-04-04 02:05 EDT,0,0
568452,2014-04-04 02:05 EDT,0,0
568453,2014-04-03 23:03 EDT,0,0
568454,2014-04-03 22:00 EDT,0,0
568455,2014-04-03 21:03 EDT,0,0
568456,2014-04-03 19:59 EDT,0,0
568457,2014-04-03 18:52 EDT,10,0
568458,2014-04-03 17:53 EDT,10,0
568459,2014-04-03 17:00 EDT,10,0
568460,2014-04-03 16:02 EDT,20,0
568461,2014-04-03 15:53 EDT,0,0
568462,2014-04-03 14:58 EDT,10,0
568463,2014-04-03 13:54 EDT,0,0
568464,2014-04-03 13:10 EDT,0,0
568465,2014-04-03 12:54 EDT,0,0
568466,2014-04-03 12:54 EDT,0,0
568467,2014-04-03 10:54 EDT,10,0
568468,2014-04-03 10:53 EDT,0,0
568469,2014-04-03 09:52 EDT,0,0
568470,2014-04-03 08:56 EDT,0,0
568471,2014-04-03 07:55 EDT,0,0
568472,2014-04-03 07:55 EDT,0,0
568473,2014-04-03 07:55 EDT,0,0
568474,2014-04-03 05:54 EDT,0,0
568475,2014-04-03 04:50 EDT,0,0
568476,2014-04-03 04:05 EDT,0,0
568477,2014-04-03 02:53 EDT,0,0
568478,2014-04-03 01:48 EDT,0,0
568479,2014-04-03 01:04 EDT,0,0
568480,2014-04-03 00:08 EDT,0,0
568481,2014-04-02 22:51 EDT,0,0
568482,2014-04-02 21:58 EDT,0,0
568483,2014-04-02 21:06 EDT,10,0
568484,2014-04-02 20:44 EDT,0,0
568485,2014-04-02 19:57 EDT,0,0
568486,2014-04-02 18:53 EDT,10,0
568487,2014-04-02 18:10 EDT,10,0
568488,2014-04-02 18:00 EDT,0,0
568489,2014-04-02 17:59 EDT,10,0
568490,2014-04-02 17:59 EDT,10,0
568491,2014-04-02 17:59 EDT,10,0
568492,2014-04-02 16:12 EDT,10,0
568493,2014-04-02 14:51 EDT,0,0
568494,2014-04-02 14:01 EDT,0,0
568495,2014-04-02 13:08 EDT,0,0
568496,2014-04-02 11:56 EDT,0,0
568497,2014-04-02 10:58 EDT,0,0
568498,2014-04-02 10:57 EDT,0,0
568499,2014-04-02 10:57 EDT,0,0
568500,2014-04-02 09:03 EDT,0,0
568501,2014-04-02 08:31 EDT,10,0
568502,2014-04-02 08:30 EDT,20,0
568503,2014-04-02 08:30 EDT,20,0
568504,2014-04-02 06:58 EDT,0,0
568505,2014-04-02 06:58 EDT,0,0
568506,2014-04-02 05:58 EDT,0,0
568507,2014-04-02 05:01 EDT,0,0
568508,2014-04-02 05:01 EDT,0,0
568509,2014-04-02 03:02 EDT,0,0
568510,2014-04-02 01:56 EDT,0,0
568511,2014-04-02 01:08 EDT,0,0
568512,2014-04-02 00:47 EDT,0,0
568513,2014-04-02 00:05 EDT,0,0
568514,2014-04-01 23:59 EDT,0,0
568515,2014-04-01 23:59 EDT,0,0
568516,2014-04-01 23:59 EDT,0,0
568517,2014-04-01 21:51 EDT,0,0
568518,2014-04-01 21:51 EDT,0,0
568519,2014-04-01 21:01 EDT,10,0
568520,2014-04-01 19:50 EDT,0,0
568521,2014-04-01 18:52 EDT,0,0
568522,2014-04-01 17:52 EDT,0,0
568523,2014-04-01 16:55 EDT,10,10
568524,2014-04-01 16:01 EDT,10,10
568525,2014-04-01 15:00 EDT,10,10
568526,2014-04-01 13:59 EDT,0,0
568527,2014-04-01 12:58 EDT,0,0
568528,2014-04-01 11:54 EDT,0,0
568529,2014-04-01 10:56 EDT,0,0
568530,2014-04-01 09:55 EDT,0,0
568531,2014-04-01 09:55 EDT,20,0
568532,2014-04-01 08:54 EDT,20,0
568533,2014-04-01 07:53 EDT,0,0
568534,2014-04-01 06:54 EDT,0,0
568535,2014-04-01 06:04 EDT,0,0
568536,2014-04-01 05:03 EDT,0,0
568537,2014-04-01 04:04 EDT,0,0
568538,2014-04-01 02:49 EDT,0,0
568539,2014-04-01 02:04 EDT,0,0
568540,2014-04-01 00:47 EDT,0,0
568541,2014-03-31 23:45 EDT,0,0
568542,2014-03-31 22:52 EDT,10,0
568543,2014-03-31 21:46 EDT,10,0
568544,2014-03-31 20:56 EDT,10,0
568545,2014-03-31 19:54 EDT,10,0
568546,2014-03-31 18:54 EDT,0,10
568547,2014-03-31 17:54 EDT,0,0
568548,2014-03-31 16:47 EDT,0,10
568549,2014-03-31 15:56 EDT,0,0
568550,2014-03-31 14:49 EDT,0,0
568551,2014-03-31 13:43 EDT,0,10
568552,2014-03-31 13:43 EDT,0,10
568553,2014-03-31 11:54 EDT,0,10
568554,2014-03-31 10:53 EDT,0,10
568555,2014-03-31 09:52 EDT,0,10
568556,2014-03-31 09:39 EDT,0,10
568557,2014-03-31 08:51 EDT,0,0
568558,2014-03-31 07:50 EDT,0,0
568559,2014-03-31 06:46 EDT,0,0
568560,2014-03-31 06:02 EDT,0,0
568561,2014-03-31 05:05 EDT,0,0
568562,2014-03-31 05:05 EDT,0,0
568563,2014-03-31 03:14 EDT,0,0
568564,2014-03-31 01:56 EDT,0,0
568565,2014-03-31 01:56 EDT,0,0
568566,2014-03-31 00:10 EDT,0,0
568567,2014-03-30 22:28 EDT,0,0
568568,2014-03-30 22:28 EDT,0,0
568569,2014-03-30 22:28 EDT,0,0
568570,2014-03-30 21:10 EDT,0,0
568571,2014-03-30 19:54 EDT,0,0
568572,2014-03-30 19:10 EDT,0,0
568573,2014-03-30 18:55 EDT,0,0
568574,2014-03-30 18:04 EDT,0,10
568575,2014-03-30 17:05 EDT,0,20
568576,2014-03-30 16:07 EDT,0,20
568577,2014-03-30 14:56 EDT,0,10
568578,2014-03-30 13:52 EDT,0,0
568579,2014-03-30 12:57 EDT,0,20
568580,2014-03-30 11:57 EDT,0,0
568581,2014-03-30 11:57 EDT,0,0
568582,2014-03-30 11:57 EDT,0,0
568583,2014-03-30 09:57 EDT,0,0
