,Updated,Commercial Flow,Travellers Flow
440437,2014-04-04 12:49 EDT,0,0
440438,2014-04-04 11:56 EDT,0,0
440439,2014-04-04 11:03 EDT,0,0
440440,2014-04-04 09:57 EDT,0,0
440441,2014-04-04 09:57 EDT,0,0
440442,2014-04-04 08:48 EDT,0,0
440443,2014-04-04 07:53 EDT,0,0
440444,2014-04-04 07:10 EDT,0,0
440445,2014-04-04 06:45 EDT,0,0
440446,2014-04-04 05:52 EDT,0,0
440447,2014-04-04 04:45 EDT,0,0
440448,2014-04-04 03:45 EDT,0,0
440449,2014-04-04 02:51 EDT,0,0
440450,2014-04-04 01:48 EDT,0,0
440451,2014-04-04 01:03 EDT,0,0
440452,2014-04-04 00:08 EDT,0,0
440453,2014-04-03 23:07 EDT,0,0
440454,2014-04-03 21:52 EDT,0,0
440455,2014-04-03 20:50 EDT,0,0
440456,2014-04-03 19:50 EDT,0,0
440457,2014-04-03 18:45 EDT,0,0
440458,2014-04-03 18:07 EDT,0,0
440459,2014-04-03 17:10 EDT,0,0
440460,2014-04-03 16:06 EDT,20,10
440461,2014-04-03 14:59 EDT,20,10
440462,2014-04-03 14:18 EDT,20,10
440463,2014-04-03 13:52 EDT,45,20
440464,2014-04-03 13:02 EDT,45,0
440465,2014-04-03 12:52 EDT,20,0
440466,2014-04-03 12:42 EDT,20,0
440467,2014-04-03 11:47 EDT,0,0
440468,2014-04-03 11:03 EDT,0,0
440469,2014-04-03 10:38 EDT,0,0
440470,2014-04-03 10:19 EDT,0,0
440471,2014-04-03 09:34 EDT,0,0
440472,2014-04-03 08:53 EDT,0,0
440473,2014-04-03 07:27 EDT,0,0
440474,2014-04-03 06:46 EDT,0,0
440475,2014-04-03 05:47 EDT,0,0
440476,2014-04-03 05:05 EDT,0,0
440477,2014-04-03 03:58 EDT,0,0
440478,2014-04-03 02:56 EDT,0,0
440479,2014-04-03 01:55 EDT,0,0
440480,2014-04-03 00:46 EDT,0,0
440481,2014-04-03 00:26 EDT,0,0
440482,2014-04-03 00:24 EDT,0,0
440483,2014-04-03 00:24 EDT,0,0
440484,2014-04-02 23:00 EDT,0,0
440485,2014-04-02 21:56 EDT,0,0
440486,2014-04-02 21:00 EDT,0,0
440487,2014-04-02 19:48 EDT,0,0
440488,2014-04-02 18:46 EDT,0,0
440489,2014-04-02 17:49 EDT,0,0
440490,2014-04-02 16:53 EDT,0,0
440491,2014-04-02 15:44 EDT,0,0
440492,2014-04-02 15:44 EDT,0,0
440493,2014-04-02 13:58 EDT,0,0
440494,2014-04-02 13:09 EDT,0,0
440495,2014-04-02 12:14 EDT,0,0
440496,2014-04-02 11:07 EDT,0,0
440497,2014-04-02 10:31 EDT,0,0
440498,2014-04-02 09:51 EDT,0,0
440499,2014-04-02 09:34 EDT,0,0
440500,2014-04-02 08:55 EDT,0,0
440501,2014-04-02 07:56 EDT,0,0
440502,2014-04-02 06:47 EDT,0,0
440503,2014-04-02 05:52 EDT,0,0
440504,2014-04-02 04:56 EDT,0,0
440505,2014-04-02 03:52 EDT,0,0
440506,2014-04-02 02:52 EDT,0,0
440507,2014-04-02 02:00 EDT,0,0
440508,2014-04-02 01:01 EDT,0,0
