,Updated,Commercial Flow,Travellers Flow
900182,2014-04-04 12:58 PDT,0,0
900183,2014-04-04 11:59 PDT,0,0
900184,2014-04-04 10:58 PDT,0,0
900185,2014-04-04 09:51 PDT,0,0
900186,2014-04-04 08:56 PDT,0,0
900187,2014-04-04 07:54 PDT,0,0
900188,2014-04-04 06:55 PDT,0,0
900189,2014-04-04 05:57 PDT,0,0
900190,2014-04-04 04:57 PDT,0,0
900191,2014-04-04 03:55 PDT,0,0
900192,2014-04-04 03:03 PDT,0,0
900193,2014-04-04 02:21 PDT,0,10
900194,2014-04-04 01:58 PDT,0,0
900195,2014-04-04 00:59 PDT,0,0
900196,2014-04-03 23:58 PDT,0,0
900197,2014-04-03 22:58 PDT,0,10
900198,2014-04-03 21:58 PDT,0,10
900199,2014-04-03 21:58 PDT,0,10
900200,2014-04-03 19:56 PDT,0,10
900201,2014-04-03 19:46 PDT,0,0
900202,2014-04-03 18:49 PDT,0,10
900203,2014-04-03 17:58 PDT,0,10
900204,2014-04-03 17:54 PDT,0,20
900205,2014-04-03 16:51 PDT,0,0
900206,2014-04-03 15:58 PDT,0,0
900207,2014-04-03 14:58 PDT,0,0
900208,2014-04-03 13:58 PDT,0,0
900209,2014-04-03 12:57 PDT,0,0
900210,2014-04-03 12:07 PDT,0,0
900211,2014-04-03 11:57 PDT,0,0
900212,2014-04-03 11:00 PDT,0,0
900213,2014-04-03 09:46 PDT,0,0
900214,2014-04-03 08:57 PDT,0,0
900215,2014-04-03 07:59 PDT,0,0
900216,2014-04-03 06:58 PDT,0,0
900217,2014-04-03 05:57 PDT,0,0
900218,2014-04-03 04:57 PDT,0,0
900219,2014-04-03 03:59 PDT,0,0
900220,2014-04-03 03:57 PDT,0,0
900221,2014-04-03 02:56 PDT,0,0
900222,2014-04-03 02:01 PDT,0,0
900223,2014-04-03 01:56 PDT,0,0
900224,2014-04-03 01:00 PDT,0,0
900225,2014-04-03 00:00 PDT,0,0
900226,2014-04-02 23:00 PDT,0,0
900227,2014-04-02 22:00 PDT,0,0
900228,2014-04-02 20:55 PDT,0,10
900229,2014-04-02 20:00 PDT,0,0
900230,2014-04-02 18:59 PDT,0,0
900231,2014-04-02 17:56 PDT,0,20
900232,2014-04-02 16:59 PDT,0,20
900233,2014-04-02 15:58 PDT,0,0
900234,2014-04-02 15:00 PDT,0,0
900235,2014-04-02 14:00 PDT,0,10
900236,2014-04-02 13:01 PDT,0,0
900237,2014-04-02 13:01 PDT,0,0
900238,2014-04-02 10:59 PDT,0,0
900239,2014-04-02 09:57 PDT,0,0
900240,2014-04-02 08:57 PDT,0,0
900241,2014-04-02 07:57 PDT,0,0
900242,2014-04-02 07:01 PDT,0,0
900243,2014-04-02 06:04 PDT,0,0
900244,2014-04-02 06:04 PDT,0,0
900245,2014-04-02 04:55 PDT,0,0
900246,2014-04-02 03:56 PDT,0,0
900247,2014-04-02 02:45 PDT,0,0
900248,2014-04-02 02:03 PDT,0,0
900249,2014-04-02 01:03 PDT,0,0
900250,2014-04-02 00:03 PDT,0,0
900251,2014-04-01 23:01 PDT,0,0
900252,2014-04-01 22:05 PDT,0,0
900253,2014-04-01 21:05 PDT,0,0
900254,2014-04-01 20:13 PDT,0,0
900255,2014-04-01 18:58 PDT,0,0
900256,2014-04-01 17:55 PDT,0,0
900257,2014-04-01 17:02 PDT,0,10
900258,2014-04-01 16:01 PDT,0,0
900259,2014-04-01 15:11 PDT,0,0
900260,2014-04-01 14:06 PDT,0,0
900261,2014-04-01 13:01 PDT,0,0
900262,2014-04-01 11:58 PDT,0,0
900263,2014-04-01 11:56 PDT,0,0
900264,2014-04-01 10:51 PDT,0,0
900265,2014-04-01 09:46 PDT,0,0
900266,2014-04-01 08:56 PDT,0,0
900267,2014-04-01 08:15 PDT,0,0
900268,2014-04-01 08:00 PDT,0,0
900269,2014-04-01 08:00 PDT,0,0
900270,2014-04-01 06:04 PDT,0,0
900271,2014-04-01 04:55 PDT,0,0
900272,2014-04-01 03:58 PDT,0,0
900273,2014-04-01 02:58 PDT,0,0
900274,2014-04-01 01:59 PDT,0,0
900275,2014-04-01 01:58 PDT,0,0
900276,2014-04-01 00:50 PDT,0,0
900277,2014-04-01 00:03 PDT,0,0
900278,2014-03-31 23:02 PDT,0,10
900279,2014-03-31 23:02 PDT,0,0
900280,2014-03-31 23:00 PDT,0,10
900281,2014-03-31 23:00 PDT,0,10
900282,2014-03-31 21:04 PDT,0,10
900283,2014-03-31 19:51 PDT,0,10
900284,2014-03-31 18:52 PDT,0,0
900285,2014-03-31 17:55 PDT,0,10
900286,2014-03-31 17:44 PDT,0,10
900287,2014-03-31 17:02 PDT,0,10
900288,2014-03-31 16:02 PDT,0,0
900289,2014-03-31 15:03 PDT,0,20
900290,2014-03-31 14:02 PDT,0,10
900291,2014-03-31 13:06 PDT,0,10
900292,2014-03-31 12:00 PDT,0,0
900293,2014-03-31 12:00 PDT,0,0
900294,2014-03-31 10:11 PDT,0,0
900295,2014-03-31 08:45 PDT,0,0
900296,2014-03-31 08:03 PDT,0,0
900297,2014-03-31 06:55 PDT,0,0
900298,2014-03-31 05:55 PDT,0,0
900299,2014-03-31 04:57 PDT,0,0
900300,2014-03-31 03:54 PDT,0,0
900301,2014-03-31 02:49 PDT,0,0
900302,2014-03-31 01:58 PDT,0,0
900303,2014-03-31 01:55 PDT,0,0
900304,2014-03-31 01:55 PDT,0,0
900305,2014-03-31 00:08 PDT,0,10
900306,2014-03-30 23:09 PDT,0,10
900307,2014-03-30 23:08 PDT,0,10
900308,2014-03-30 23:08 PDT,0,10
900309,2014-03-30 21:06 PDT,0,0
900310,2014-03-30 20:06 PDT,0,0
900311,2014-03-30 18:55 PDT,0,10
900312,2014-03-30 18:05 PDT,0,10
900313,2014-03-30 17:05 PDT,0,0
900314,2014-03-30 16:10 PDT,0,0
900315,2014-03-30 15:05 PDT,0,0
900316,2014-03-30 14:12 PDT,0,0
900317,2014-03-30 13:05 PDT,0,0
900318,2014-03-30 12:05 PDT,0,0
