,Updated,Commercial Flow,Travellers Flow
245641,2014-04-04 13:51 EDT,0,0
245642,2014-04-04 11:50 EDT,0,0
245643,2014-04-04 10:51 EDT,0,0
245644,2014-04-04 09:52 EDT,0,0
245645,2014-04-04 08:50 EDT,0,0
245646,2014-04-04 07:45 EDT,0,0
245647,2014-04-04 07:02 EDT,0,0
245648,2014-04-04 06:47 EDT,0,0
245649,2014-04-04 06:16 EDT,0,0
245650,2014-04-04 05:37 EDT,0,0
245651,2014-04-04 04:47 EDT,0,0
245652,2014-04-04 04:20 EDT,0,0
245653,2014-04-04 03:38 EDT,0,0
245654,2014-04-04 03:17 EDT,0,0
245655,2014-04-04 02:45 EDT,0,0
245656,2014-04-04 01:48 EDT,0,0
245657,2014-04-04 01:23 EDT,0,0
245658,2014-04-04 00:51 EDT,0,0
245659,2014-04-04 00:41 EDT,0,0
245660,2014-04-04 00:21 EDT,0,0
245661,2014-04-03 23:53 EDT,0,0
245662,2014-04-03 23:51 EDT,0,0
245663,2014-04-03 23:22 EDT,0,0
245664,2014-04-03 23:08 EDT,0,0
245665,2014-04-03 21:51 EDT,0,0
245666,2014-04-03 20:52 EDT,0,0
245667,2014-04-03 19:52 EDT,0,0
245668,2014-04-03 18:50 EDT,0,0
245669,2014-04-03 17:56 EDT,0,0
245670,2014-04-03 16:57 EDT,0,0
245671,2014-04-03 15:57 EDT,0,0
245672,2014-04-03 14:59 EDT,0,0
245673,2014-04-03 13:56 EDT,0,0
245674,2014-04-03 12:57 EDT,0,0
245675,2014-04-03 11:58 EDT,0,0
245676,2014-04-03 10:57 EDT,0,0
245677,2014-04-03 09:58 EDT,0,0
245678,2014-04-03 08:58 EDT,0,0
245679,2014-04-03 08:05 EDT,0,0
245680,2014-04-03 06:57 EDT,0,0
245681,2014-04-03 05:58 EDT,0,0
245682,2014-04-03 04:56 EDT,0,0
245683,2014-04-03 03:59 EDT,0,0
245684,2014-04-03 03:58 EDT,0,0
245685,2014-04-03 02:59 EDT,0,0
245686,2014-04-03 02:00 EDT,0,0
245687,2014-04-03 00:57 EDT,0,0
245688,2014-04-02 23:58 EDT,0,0
245689,2014-04-02 22:55 EDT,0,0
245690,2014-04-02 21:55 EDT,0,0
245691,2014-04-02 20:55 EDT,0,0
245692,2014-04-02 19:55 EDT,0,0
245693,2014-04-02 18:55 EDT,0,0
245694,2014-04-02 17:54 EDT,0,0
245695,2014-04-02 16:54 EDT,0,0
245696,2014-04-02 15:53 EDT,0,0
245697,2014-04-02 14:54 EDT,0,0
245698,2014-04-02 13:54 EDT,0,0
245699,2014-04-02 12:53 EDT,0,0
245700,2014-04-02 11:53 EDT,0,0
245701,2014-04-02 10:55 EDT,0,0
245702,2014-04-02 09:53 EDT,0,0
245703,2014-04-02 09:04 EDT,0,0
245704,2014-04-02 08:53 EDT,0,0
245705,2014-04-02 08:53 EDT,0,0
245706,2014-04-02 06:54 EDT,0,0
245707,2014-04-02 05:52 EDT,0,0
245708,2014-04-02 04:53 EDT,0,0
245709,2014-04-02 04:12 EDT,0,0
245710,2014-04-02 02:53 EDT,0,0
245711,2014-04-02 01:52 EDT,0,0
245712,2014-04-02 00:54 EDT,0,0
245713,2014-04-01 23:55 EDT,0,0
245714,2014-04-01 22:53 EDT,0,0
245715,2014-04-01 21:52 EDT,0,0
245716,2014-04-01 20:52 EDT,0,0
245717,2014-04-01 19:52 EDT,0,0
245718,2014-04-01 18:51 EDT,0,0
245719,2014-04-01 17:51 EDT,0,0
245720,2014-04-01 16:51 EDT,0,0
245721,2014-04-01 15:51 EDT,0,0
245722,2014-04-01 14:53 EDT,0,0
245723,2014-04-01 14:00 EDT,0,0
245724,2014-04-01 13:51 EDT,0,0
245725,2014-04-01 13:51 EDT,0,0
245726,2014-04-01 11:51 EDT,0,0
245727,2014-04-01 10:50 EDT,0,0
245728,2014-04-01 09:50 EDT,0,0
245729,2014-04-01 09:44 EDT,0,0
245730,2014-04-01 08:45 EDT,0,0
245731,2014-04-01 07:44 EDT,0,0
245732,2014-04-01 06:43 EDT,0,0
245733,2014-04-01 06:16 EDT,0,0
245734,2014-04-01 06:10 EDT,0,0
245735,2014-04-01 04:52 EDT,0,0
245736,2014-04-01 04:26 EDT,0,0
245737,2014-04-01 04:15 EDT,0,0
245738,2014-04-01 03:50 EDT,0,0
245739,2014-04-01 03:31 EDT,0,0
245740,2014-04-01 02:50 EDT,0,0
245741,2014-04-01 02:22 EDT,0,0
245742,2014-04-01 02:13 EDT,0,0
245743,2014-04-01 01:57 EDT,0,0
245744,2014-04-01 01:43 EDT,0,0
245745,2014-04-01 00:50 EDT,0,0
245746,2014-04-01 00:20 EDT,0,0
245747,2014-03-31 23:48 EDT,0,0
245748,2014-03-31 22:53 EDT,0,0
245749,2014-03-31 21:51 EDT,0,0
245750,2014-03-31 21:50 EDT,0,0
245751,2014-03-31 20:51 EDT,0,0
245752,2014-03-31 20:51 EDT,0,0
245753,2014-03-31 18:50 EDT,0,0
245754,2014-03-31 17:50 EDT,0,0
245755,2014-03-31 16:50 EDT,0,0
245756,2014-03-31 15:50 EDT,0,0
245757,2014-03-31 14:50 EDT,0,0
245758,2014-03-31 13:56 EDT,0,0
245759,2014-03-31 12:50 EDT,0,0
245760,2014-03-31 11:51 EDT,0,0
245761,2014-03-31 10:49 EDT,0,0
245762,2014-03-31 09:47 EDT,0,0
245763,2014-03-31 08:47 EDT,0,0
245764,2014-03-31 07:47 EDT,0,0
245765,2014-03-31 06:45 EDT,0,0
245766,2014-03-31 06:27 EDT,0,0
245767,2014-03-31 06:16 EDT,0,0
245768,2014-03-31 05:55 EDT,0,0
245769,2014-03-31 05:17 EDT,0,0
245770,2014-03-31 04:40 EDT,0,0
245771,2014-03-31 04:23 EDT,0,0
245772,2014-03-31 03:50 EDT,0,0
245773,2014-03-31 03:28 EDT,0,0
245774,2014-03-31 03:13 EDT,0,0
245775,2014-03-31 02:50 EDT,0,0
245776,2014-03-31 02:31 EDT,0,0
245777,2014-03-31 01:50 EDT,0,0
245778,2014-03-31 01:22 EDT,0,0
245779,2014-03-31 00:53 EDT,0,0
245780,2014-03-30 23:24 EDT,0,0
245781,2014-03-30 22:54 EDT,0,0
245782,2014-03-30 22:15 EDT,0,0
245783,2014-03-30 21:57 EDT,0,0
245784,2014-03-30 20:59 EDT,0,0
245785,2014-03-30 20:59 EDT,0,0
245786,2014-03-30 20:58 EDT,0,0
245787,2014-03-30 20:58 EDT,0,0
245788,2014-03-30 20:58 EDT,0,0
245789,2014-03-30 20:58 EDT,0,0
245790,2014-03-30 20:58 EDT,0,0
245791,2014-03-30 20:58 EDT,0,0
