Updated,Flow
2014-04-04 12:41 MDT,30
2014-04-04 12:06 MDT,30
2014-04-04 11:39 MDT,20
2014-04-04 11:09 MDT,10
2014-04-04 10:36 MDT,0
2014-04-04 10:01 MDT,10
2014-04-04 10:01 MDT,10
2014-04-04 08:02 MDT,0
2014-04-04 07:01 MDT,0
2014-04-04 06:04 MDT,0
2014-04-04 05:04 MDT,0
2014-04-04 04:05 MDT,0
2014-04-04 03:06 MDT,0
2014-04-04 02:04 MDT,0
2014-04-04 01:03 MDT,0
2014-04-04 00:09 MDT,0
2014-04-03 23:02 MDT,0
2014-04-03 22:35 MDT,0
2014-04-03 22:35 MDT,30
2014-04-03 22:35 MDT,0
2014-04-03 22:02 MDT,0
2014-04-03 21:31 MDT,0
2014-04-03 21:03 MDT,0
2014-04-03 19:59 MDT,0
2014-04-03 19:27 MDT,10
2014-04-03 19:04 MDT,10
2014-04-03 18:35 MDT,30
2014-04-03 17:54 MDT,30
2014-04-03 17:28 MDT,30
2014-04-03 16:40 MDT,20
2014-04-03 16:32 MDT,20
2014-04-03 15:32 MDT,0
2014-04-03 15:12 MDT,10
2014-04-03 14:24 MDT,30
2014-04-03 14:14 MDT,30
2014-04-03 14:08 MDT,30
2014-04-03 13:12 MDT,30
2014-04-03 12:07 MDT,30
2014-04-03 11:45 MDT,45
2014-04-03 11:38 MDT,30
2014-04-03 11:38 MDT,30
2014-04-03 11:38 MDT,30
2014-04-03 09:03 MDT,0
2014-04-03 08:01 MDT,0
2014-04-03 07:01 MDT,0
2014-04-03 06:00 MDT,0
2014-04-03 05:01 MDT,0
2014-04-03 04:38 MDT,0
2014-04-03 04:07 MDT,0
2014-04-03 03:35 MDT,0
2014-04-03 03:12 MDT,0
2014-04-03 02:36 MDT,0
2014-04-03 02:23 MDT,0
2014-04-03 02:08 MDT,0
2014-04-03 01:37 MDT,0
2014-04-03 01:36 MDT,0
2014-04-02 23:35 MDT,0
2014-04-02 23:05 MDT,0
2014-04-02 22:37 MDT,0
2014-04-02 22:35 MDT,0
2014-04-02 22:05 MDT,0
2014-04-02 21:35 MDT,0
2014-04-02 21:07 MDT,0
2014-04-02 21:07 MDT,0
2014-04-02 21:05 MDT,10
2014-04-02 20:33 MDT,45
2014-04-02 20:05 MDT,45
2014-04-02 19:34 MDT,30
2014-04-02 19:04 MDT,30
2014-04-02 18:34 MDT,30
2014-04-02 18:00 MDT,30
2014-04-02 17:53 MDT,45
2014-04-02 16:57 MDT,30
2014-04-02 16:36 MDT,30
2014-04-02 16:33 MDT,45
2014-04-02 16:14 MDT,60
2014-04-02 15:58 MDT,45
2014-04-02 15:53 MDT,60
2014-04-02 14:57 MDT,45
2014-04-02 14:26 MDT,30
2014-04-02 14:20 MDT,30
2014-04-02 14:07 MDT,30
2014-04-02 14:01 MDT,20
2014-04-02 13:13 MDT,20
2014-04-02 12:32 MDT,10
2014-04-02 11:57 MDT,20
2014-04-02 11:29 MDT,10
2014-04-02 11:00 MDT,0
2014-04-02 10:12 MDT,0
2014-04-02 09:36 MDT,0
2014-04-02 09:02 MDT,0
2014-04-02 08:25 MDT,0
2014-04-02 08:25 MDT,0
2014-04-02 08:25 MDT,0
2014-04-02 06:01 MDT,0
2014-04-02 05:28 MDT,0
2014-04-02 05:04 MDT,0
2014-04-02 04:32 MDT,0
2014-04-02 04:01 MDT,0
2014-04-02 03:37 MDT,0
2014-04-02 02:37 MDT,0
2014-04-02 02:07 MDT,0
2014-04-02 01:38 MDT,0
2014-04-02 00:38 MDT,0
2014-04-02 00:08 MDT,0
2014-04-01 23:36 MDT,0
2014-04-01 22:36 MDT,0
2014-04-01 22:06 MDT,0
2014-04-01 21:36 MDT,0
2014-04-01 21:06 MDT,0
2014-04-01 20:38 MDT,0
2014-04-01 20:06 MDT,10
2014-04-01 19:36 MDT,10
2014-04-01 19:09 MDT,20
2014-04-01 19:05 MDT,20
2014-04-01 18:37 MDT,10
2014-04-01 18:07 MDT,30
2014-04-01 16:36 MDT,30
2014-04-01 16:20 MDT,20
2014-04-01 16:07 MDT,20
2014-04-01 15:35 MDT,20
2014-04-01 15:07 MDT,45
2014-04-01 14:09 MDT,45
2014-04-01 13:42 MDT,30
2014-04-01 13:02 MDT,20
2014-04-01 12:35 MDT,20
2014-04-01 12:06 MDT,0
2014-04-01 11:38 MDT,0
2014-04-01 11:04 MDT,10
2014-04-01 10:35 MDT,10
2014-04-01 10:03 MDT,20
2014-04-01 09:09 MDT,0
2014-04-01 08:01 MDT,0
2014-04-01 07:00 MDT,0
2014-04-01 06:00 MDT,0
2014-04-01 05:30 MDT,0
2014-04-01 04:59 MDT,0
2014-04-01 04:31 MDT,0
2014-04-01 04:00 MDT,0
2014-04-01 04:00 MDT,0
2014-04-01 04:00 MDT,0
2014-04-01 02:02 MDT,0
2014-04-01 02:02 MDT,0
2014-04-01 01:04 MDT,0
2014-04-01 00:31 MDT,0
2014-04-01 00:04 MDT,0
2014-03-31 23:31 MDT,0
2014-03-31 23:01 MDT,0
2014-03-31 22:32 MDT,0
2014-03-31 22:01 MDT,0
2014-03-31 21:31 MDT,0
2014-03-31 21:31 MDT,0
2014-03-31 21:00 MDT,0
2014-03-31 20:31 MDT,0
2014-03-31 20:01 MDT,20
2014-03-31 19:28 MDT,30
2014-03-31 19:07 MDT,30
2014-03-31 18:40 MDT,30
2014-03-31 18:06 MDT,30
2014-03-31 16:59 MDT,45
2014-03-31 16:38 MDT,45
2014-03-31 16:16 MDT,45
