,Updated,Commercial Flow,Travellers Flow
860660,2014-04-04 11:47 PDT,0,0
860661,2014-04-04 11:06 PDT,0,0
860662,2014-04-04 10:07 PDT,0,0
860663,2014-04-04 09:05 PDT,0,0
860664,2014-04-04 08:02 PDT,0,0
860665,2014-04-04 07:06 PDT,0,0
860666,2014-04-04 05:56 PDT,0,0
860667,2014-04-04 05:08 PDT,0,0
860668,2014-04-04 04:04 PDT,0,0
860669,2014-04-04 04:04 PDT,0,10
860670,2014-04-04 02:54 PDT,0,10
860671,2014-04-04 02:54 PDT,0,10
860672,2014-04-04 00:55 PDT,0,10
860673,2014-04-04 00:03 PDT,0,10
860674,2014-04-03 22:57 PDT,0,10
860675,2014-04-03 21:54 PDT,0,0
860676,2014-04-03 21:00 PDT,0,0
860677,2014-04-03 19:57 PDT,0,10
860678,2014-04-03 19:08 PDT,0,20
860679,2014-04-03 17:59 PDT,0,0
860680,2014-04-03 17:11 PDT,0,10
860681,2014-04-03 16:10 PDT,0,0
860682,2014-04-03 15:02 PDT,0,30
860683,2014-04-03 14:20 PDT,0,0
860684,2014-04-03 14:20 PDT,0,0
860685,2014-04-03 14:19 PDT,0,10
860686,2014-04-03 14:19 PDT,0,10
860687,2014-04-03 13:04 PDT,0,10
860688,2014-04-03 12:04 PDT,0,0
860689,2014-04-03 11:39 PDT,0,0
860690,2014-04-03 11:39 PDT,0,0
860691,2014-04-03 10:08 PDT,0,0
860692,2014-04-03 10:08 PDT,0,0
860693,2014-04-03 10:08 PDT,0,0
860694,2014-04-03 08:35 PDT,0,0
860695,2014-04-03 08:02 PDT,0,0
860696,2014-04-03 08:02 PDT,0,0
860697,2014-04-03 06:09 PDT,0,0
860698,2014-04-03 04:55 PDT,0,0
860699,2014-04-03 03:46 PDT,0,0
860700,2014-04-03 03:46 PDT,0,10
860701,2014-04-03 03:45 PDT,0,0
860702,2014-04-03 03:45 PDT,0,0
860703,2014-04-03 03:45 PDT,0,0
860704,2014-04-03 00:58 PDT,0,0
860705,2014-04-02 23:55 PDT,0,0
860706,2014-04-02 22:53 PDT,0,0
860707,2014-04-02 21:57 PDT,0,10
860708,2014-04-02 21:03 PDT,0,0
860709,2014-04-02 19:51 PDT,0,0
860710,2014-04-02 18:57 PDT,0,0
860711,2014-04-02 18:01 PDT,0,10
860712,2014-04-02 17:06 PDT,0,30
860713,2014-04-02 16:01 PDT,0,10
860714,2014-04-02 16:00 PDT,0,20
860715,2014-04-02 14:57 PDT,0,0
860716,2014-04-02 13:52 PDT,0,0
860717,2014-04-02 12:49 PDT,0,0
