,Updated,Commercial Flow,Travellers Flow
102874,2014-04-04 13:48 ADT,10,10
102875,2014-04-04 13:48 ADT,10,10
102876,2014-04-04 11:55 ADT,10,10
102877,2014-04-04 11:39 ADT,0,0
102878,2014-04-04 11:39 ADT,0,0
102879,2014-04-04 11:02 ADT,0,0
102880,2014-04-04 11:02 ADT,0,0
102881,2014-04-04 11:02 ADT,0,0
102882,2014-04-04 09:03 ADT,10,10
102883,2014-04-04 09:03 ADT,10,10
102884,2014-04-04 09:03 ADT,10,10
102885,2014-04-04 07:02 ADT,0,0
102886,2014-04-04 07:02 ADT,0,0
102887,2014-04-04 06:06 ADT,0,0
102888,2014-04-04 04:58 ADT,0,0
102889,2014-04-04 04:01 ADT,0,0
102890,2014-04-04 03:01 ADT,0,0
102891,2014-04-04 02:01 ADT,0,0
102892,2014-04-04 01:08 ADT,0,0
102893,2014-04-04 00:00 ADT,0,0
102894,2014-04-03 23:00 ADT,0,0
102895,2014-04-03 22:00 ADT,0,0
102896,2014-04-03 21:00 ADT,0,0
102897,2014-04-03 19:59 ADT,0,0
102898,2014-04-03 19:00 ADT,10,10
102899,2014-04-03 17:59 ADT,0,0
102900,2014-04-03 16:48 ADT,0,0
102901,2014-04-03 15:59 ADT,0,0
102902,2014-04-03 14:59 ADT,10,10
102903,2014-04-03 14:04 ADT,10,10
102904,2014-04-03 13:59 ADT,10,10
102905,2014-04-03 13:59 ADT,10,10
102906,2014-04-03 11:59 ADT,10,10
102907,2014-04-03 10:58 ADT,0,0
102908,2014-04-03 09:58 ADT,0,0
102909,2014-04-03 09:45 ADT,0,0
102910,2014-04-03 09:44 ADT,0,0
102911,2014-04-03 09:00 ADT,0,0
102912,2014-04-03 09:00 ADT,0,0
102913,2014-04-03 07:01 ADT,0,0
102914,2014-04-03 05:57 ADT,0,0
102915,2014-04-03 04:57 ADT,0,0
102916,2014-04-03 03:59 ADT,0,0
102917,2014-04-03 02:58 ADT,0,0
102918,2014-04-03 02:57 ADT,0,0
102919,2014-04-03 01:58 ADT,0,0
102920,2014-04-03 00:57 ADT,0,0
102921,2014-04-03 00:13 ADT,0,0
102922,2014-04-02 22:59 ADT,0,0
102923,2014-04-02 21:59 ADT,0,0
102924,2014-04-02 20:59 ADT,0,0
102925,2014-04-02 19:58 ADT,0,0
102926,2014-04-02 18:58 ADT,0,0
102927,2014-04-02 17:58 ADT,0,0
102928,2014-04-02 16:49 ADT,0,0
102929,2014-04-02 16:00 ADT,0,0
102930,2014-04-02 15:01 ADT,0,0
102931,2014-04-02 14:36 ADT,0,0
102932,2014-04-02 14:01 ADT,0,0
102933,2014-04-02 12:59 ADT,0,0
102934,2014-04-02 11:58 ADT,0,0
102935,2014-04-02 10:59 ADT,0,0
102936,2014-04-02 10:00 ADT,0,0
102937,2014-04-02 10:00 ADT,0,0
102938,2014-04-02 07:59 ADT,0,0
102939,2014-04-02 06:59 ADT,0,0
102940,2014-04-02 06:44 ADT,0,0
102941,2014-04-02 05:59 ADT,0,0
102942,2014-04-02 04:58 ADT,0,0
102943,2014-04-02 03:58 ADT,0,0
102944,2014-04-02 03:00 ADT,0,0
102945,2014-04-02 02:01 ADT,0,0
102946,2014-04-02 01:02 ADT,0,0
102947,2014-04-02 00:00 ADT,0,0
102948,2014-04-01 22:59 ADT,0,0
102949,2014-04-01 21:59 ADT,0,0
102950,2014-04-01 21:01 ADT,0,0
