,Updated,Commercial Flow,Travellers Flow
693212,2014-04-04 12:49 CDT,0,0
693213,2014-04-04 11:57 CDT,0,0
693214,2014-04-04 11:47 CDT,0,0
693215,2014-04-04 10:58 CDT,10,0
693216,2014-04-04 09:59 CDT,20,0
693217,2014-04-04 08:59 CDT,0,0
693218,2014-04-04 08:16 CDT,0,0
693219,2014-04-04 07:50 CDT,0,0
693220,2014-04-04 07:07 CDT,0,0
693221,2014-04-04 06:01 CDT,0,0
693222,2014-04-04 05:04 CDT,0,0
693223,2014-04-04 03:48 CDT,0,0
693224,2014-04-04 02:48 CDT,0,0
693225,2014-04-04 01:52 CDT,0,0
693226,2014-04-04 01:15 CDT,0,0
693227,2014-04-04 00:59 CDT,0,0
693228,2014-04-03 23:59 CDT,0,0
693229,2014-04-03 22:52 CDT,0,0
693230,2014-04-03 21:52 CDT,0,0
693231,2014-04-03 21:02 CDT,10,0
693232,2014-04-03 20:04 CDT,20,30
693233,2014-04-03 18:45 CDT,20,30
693234,2014-04-03 17:51 CDT,0,20
693235,2014-04-03 17:36 CDT,0,0
693236,2014-04-03 17:36 CDT,0,0
693237,2014-04-03 17:36 CDT,10,10
693238,2014-04-03 17:36 CDT,10,10
693239,2014-04-03 17:35 CDT,0,0
693240,2014-04-03 17:35 CDT,0,0
693241,2014-04-03 17:35 CDT,0,10
693242,2014-04-03 17:35 CDT,0,0
693243,2014-04-03 17:34 CDT,0,0
693244,2014-04-03 17:34 CDT,0,0
693245,2014-04-03 17:34 CDT,10,10
693246,2014-04-03 17:34 CDT,10,10
693247,2014-04-03 17:34 CDT,0,0
693248,2014-04-03 17:33 CDT,0,0
693249,2014-04-03 17:11 CDT,0,20
693250,2014-04-03 16:51 CDT,0,20
693251,2014-04-03 15:47 CDT,0,10
693252,2014-04-03 15:11 CDT,20,20
693253,2014-04-03 15:05 CDT,20,20
693254,2014-04-03 15:05 CDT,20,20
693255,2014-04-03 15:05 CDT,20,20
693256,2014-04-03 15:05 CDT,20,20
693257,2014-04-03 15:05 CDT,20,20
693258,2014-04-03 15:05 CDT,20,20
693259,2014-04-03 07:57 CDT,0,0
693260,2014-04-03 07:56 CDT,0,0
693261,2014-04-03 07:11 CDT,0,0
693262,2014-04-03 06:46 CDT,0,0
693263,2014-04-03 05:49 CDT,0,0
693264,2014-04-03 04:49 CDT,0,0
693265,2014-04-03 03:52 CDT,0,0
