,Updated,Commercial Flow,Travellers Flow
655417,2014-04-04 12:50 CDT,0,0
655418,2014-04-04 11:50 CDT,0,0
655419,2014-04-04 11:00 CDT,0,0
655420,2014-04-04 09:59 CDT,0,0
655421,2014-04-04 08:48 CDT,0,0
655422,2014-04-04 07:48 CDT,0,0
655423,2014-04-04 06:58 CDT,0,0
655424,2014-04-04 05:52 CDT,0,0
655425,2014-04-04 04:51 CDT,0,0
655426,2014-04-04 04:04 CDT,0,0
655427,2014-04-04 02:54 CDT,0,0
655428,2014-04-04 01:55 CDT,0,0
655429,2014-04-04 00:58 CDT,0,0
655430,2014-04-04 00:02 CDT,0,0
655431,2014-04-03 22:59 CDT,0,0
655432,2014-04-03 21:51 CDT,0,0
655433,2014-04-03 20:59 CDT,0,0
655434,2014-04-03 19:57 CDT,0,0
655435,2014-04-03 19:51 CDT,0,0
655436,2014-04-03 18:50 CDT,0,0
655437,2014-04-03 17:52 CDT,0,0
655438,2014-04-03 16:59 CDT,0,0
655439,2014-04-03 15:53 CDT,0,0
655440,2014-04-03 14:56 CDT,0,0
655441,2014-04-03 13:49 CDT,0,0
655442,2014-04-03 12:53 CDT,0,0
655443,2014-04-03 11:50 CDT,0,0
655444,2014-04-03 11:00 CDT,0,0
655445,2014-04-03 09:50 CDT,0,0
655446,2014-04-03 08:51 CDT,0,0
655447,2014-04-03 07:49 CDT,0,0
655448,2014-04-03 06:55 CDT,0,0
655449,2014-04-03 05:59 CDT,0,0
655450,2014-04-03 04:51 CDT,0,0
655451,2014-04-03 03:53 CDT,0,0
655452,2014-04-03 02:56 CDT,0,0
655453,2014-04-03 01:59 CDT,0,0
655454,2014-04-03 00:59 CDT,0,0
655455,2014-04-02 23:59 CDT,0,0
655456,2014-04-02 23:00 CDT,0,0
655457,2014-04-02 23:00 CDT,0,0
655458,2014-04-02 22:03 CDT,0,0
655459,2014-04-02 21:02 CDT,0,0
655460,2014-04-02 20:01 CDT,0,0
655461,2014-04-02 19:02 CDT,0,0
655462,2014-04-02 18:01 CDT,0,0
655463,2014-04-02 17:01 CDT,0,0
655464,2014-04-02 16:00 CDT,0,0
655465,2014-04-02 15:03 CDT,0,0
655466,2014-04-02 14:00 CDT,0,0
655467,2014-04-02 13:00 CDT,0,0
655468,2014-04-02 11:59 CDT,0,0
655469,2014-04-02 11:01 CDT,0,0
655470,2014-04-02 10:00 CDT,0,0
655471,2014-04-02 09:00 CDT,0,0
655472,2014-04-02 08:02 CDT,0,0
655473,2014-04-02 06:57 CDT,0,0
655474,2014-04-02 05:55 CDT,0,0
655475,2014-04-02 04:54 CDT,0,0
655476,2014-04-02 03:59 CDT,0,0
655477,2014-04-02 03:55 CDT,0,0
655478,2014-04-02 02:53 CDT,0,0
655479,2014-04-02 02:00 CDT,0,0
655480,2014-04-02 00:57 CDT,0,0
655481,2014-04-01 23:56 CDT,0,0
655482,2014-04-01 23:10 CDT,0,0
655483,2014-04-01 23:00 CDT,0,0
655484,2014-04-01 21:59 CDT,0,0
655485,2014-04-01 20:57 CDT,0,0
655486,2014-04-01 20:57 CDT,0,0
655487,2014-04-01 19:59 CDT,0,0
655488,2014-04-01 18:56 CDT,0,0
655489,2014-04-01 17:50 CDT,0,0
655490,2014-04-01 17:03 CDT,0,0
655491,2014-04-01 17:00 CDT,0,0
655492,2014-04-01 15:57 CDT,0,0
655493,2014-04-01 15:00 CDT,0,0
655494,2014-04-01 13:59 CDT,0,0
655495,2014-04-01 13:01 CDT,0,0
655496,2014-04-01 12:00 CDT,0,0
655497,2014-04-01 11:00 CDT,0,0
655498,2014-04-01 10:00 CDT,0,0
655499,2014-04-01 09:00 CDT,0,0
655500,2014-04-01 08:02 CDT,0,0
655501,2014-04-01 06:56 CDT,0,0
655502,2014-04-01 06:00 CDT,0,0
655503,2014-04-01 05:59 CDT,0,0
655504,2014-04-01 05:00 CDT,0,0
655505,2014-04-01 04:00 CDT,0,0
655506,2014-04-01 03:00 CDT,0,0
655507,2014-04-01 02:00 CDT,0,0
655508,2014-04-01 01:00 CDT,0,0
655509,2014-03-31 23:59 CDT,0,0
655510,2014-03-31 23:00 CDT,0,0
655511,2014-03-31 22:00 CDT,0,0
655512,2014-03-31 20:58 CDT,0,0
655513,2014-03-31 19:56 CDT,0,0
655514,2014-03-31 18:52 CDT,0,0
655515,2014-03-31 18:11 CDT,0,0
655516,2014-03-31 17:55 CDT,0,0
655517,2014-03-31 16:52 CDT,0,0
655518,2014-03-31 15:53 CDT,0,0
655519,2014-03-31 15:02 CDT,0,0
655520,2014-03-31 13:54 CDT,0,0
