,Updated,Commercial Flow,Travellers Flow
736667,2014-04-04 13:02 MDT,0,0
736668,2014-04-04 12:02 MDT,0,0
736669,2014-04-04 11:32 MDT,0,0
736670,2014-04-04 11:32 MDT,0,0
736671,2014-04-04 11:06 MDT,0,0
736672,2014-04-04 10:11 MDT,0,0
736673,2014-04-04 09:10 MDT,0,0
736674,2014-04-04 09:10 MDT,0,0
736675,2014-04-04 07:10 MDT,0,0
736676,2014-04-04 06:10 MDT,0,0
736677,2014-04-04 06:10 MDT,0,0
736678,2014-04-04 04:10 MDT,0,0
736679,2014-04-04 03:09 MDT,0,0
736680,2014-04-04 02:09 MDT,0,0
736681,2014-04-04 01:09 MDT,0,0
736682,2014-04-04 00:09 MDT,0,0
736683,2014-04-03 23:08 MDT,0,0
736684,2014-04-03 22:08 MDT,0,0
736685,2014-04-03 22:05 MDT,0,0
736686,2014-04-03 21:08 MDT,0,0
736687,2014-04-03 21:08 MDT,0,0
736688,2014-04-03 19:07 MDT,0,0
736689,2014-04-03 18:07 MDT,0,0
736690,2014-04-03 17:07 MDT,0,0
736691,2014-04-03 16:07 MDT,0,0
736692,2014-04-03 15:07 MDT,10,0
736693,2014-04-03 14:07 MDT,45,0
736694,2014-04-03 13:08 MDT,45,0
736695,2014-04-03 12:06 MDT,0,0
736696,2014-04-03 11:06 MDT,0,0
736697,2014-04-03 10:30 MDT,0,0
736698,2014-04-03 10:05 MDT,0,0
736699,2014-04-03 09:03 MDT,0,0
736700,2014-04-03 08:03 MDT,0,0
736701,2014-04-03 07:02 MDT,0,0
736702,2014-04-03 06:10 MDT,0,0
736703,2014-04-03 05:10 MDT,0,0
736704,2014-04-03 04:09 MDT,0,0
736705,2014-04-03 04:09 MDT,0,0
736706,2014-04-03 02:05 MDT,0,0
736707,2014-04-03 01:02 MDT,30,0
736708,2014-04-03 00:00 MDT,0,0
736709,2014-04-02 23:03 MDT,0,0
736710,2014-04-02 22:01 MDT,0,0
736711,2014-04-02 22:00 MDT,0,0
736712,2014-04-02 22:00 MDT,0,0
736713,2014-04-02 20:00 MDT,0,0
736714,2014-04-02 19:03 MDT,0,0
736715,2014-04-02 18:05 MDT,0,0
736716,2014-04-02 17:02 MDT,0,0
736717,2014-04-02 16:06 MDT,0,0
736718,2014-04-02 15:11 MDT,0,0
736719,2014-04-02 14:10 MDT,0,0
736720,2014-04-02 13:10 MDT,0,0
736721,2014-04-02 12:10 MDT,0,0
736722,2014-04-02 11:34 MDT,30,0
736723,2014-04-02 11:10 MDT,0,0
736724,2014-04-02 10:10 MDT,0,0
736725,2014-04-02 09:09 MDT,0,0
736726,2014-04-02 08:09 MDT,0,0
736727,2014-04-02 08:09 MDT,0,0
736728,2014-04-02 07:08 MDT,0,0
736729,2014-04-02 06:08 MDT,0,0
736730,2014-04-02 05:08 MDT,0,0
736731,2014-04-02 04:08 MDT,0,0
736732,2014-04-02 03:08 MDT,0,0
736733,2014-04-02 02:08 MDT,0,0
736734,2014-04-02 01:08 MDT,30,0
736735,2014-04-02 01:08 MDT,30,0
736736,2014-04-01 23:07 MDT,45,0
736737,2014-04-01 22:10 MDT,30,0
736738,2014-04-01 21:11 MDT,30,0
736739,2014-04-01 20:11 MDT,90,0
736740,2014-04-01 19:10 MDT,0,0
736741,2014-04-01 18:10 MDT,0,0
736742,2014-04-01 17:10 MDT,0,0
736743,2014-04-01 16:09 MDT,0,0
736744,2014-04-01 15:09 MDT,0,0
736745,2014-04-01 14:09 MDT,0,0
736746,2014-04-01 13:09 MDT,0,0
736747,2014-04-01 12:09 MDT,0,0
736748,2014-04-01 11:08 MDT,0,0
736749,2014-04-01 10:09 MDT,0,0
736750,2014-04-01 09:08 MDT,0,0
736751,2014-04-01 08:08 MDT,0,0
736752,2014-04-01 07:08 MDT,0,0
736753,2014-04-01 06:08 MDT,0,0
736754,2014-04-01 05:07 MDT,0,0
736755,2014-04-01 04:07 MDT,0,0
736756,2014-04-01 03:07 MDT,0,0
736757,2014-04-01 02:07 MDT,0,0
736758,2014-04-01 01:07 MDT,0,0
736759,2014-04-01 00:07 MDT,0,0
736760,2014-03-31 23:07 MDT,0,0
736761,2014-03-31 22:07 MDT,0,0
736762,2014-03-31 21:06 MDT,0,0
736763,2014-03-31 20:06 MDT,0,0
736764,2014-03-31 19:06 MDT,0,0
736765,2014-03-31 18:06 MDT,0,0
736766,2014-03-31 17:06 MDT,0,0
736767,2014-03-31 16:06 MDT,0,0
736768,2014-03-31 15:05 MDT,0,0
736769,2014-03-31 14:05 MDT,0,0
736770,2014-03-31 13:05 MDT,0,0
736771,2014-03-31 12:05 MDT,0,0
736772,2014-03-31 11:04 MDT,0,0
736773,2014-03-31 10:05 MDT,0,0
736774,2014-03-31 09:08 MDT,0,0
736775,2014-03-31 08:07 MDT,0,0
736776,2014-03-31 07:07 MDT,0,0
736777,2014-03-31 06:08 MDT,0,0
736778,2014-03-31 05:07 MDT,0,0
