,Updated,Commercial Flow,Travellers Flow
821675,2014-04-04 12:59 PDT,0,0
821676,2014-04-04 11:54 PDT,0,0
821677,2014-04-04 10:57 PDT,0,0
821678,2014-04-04 09:59 PDT,0,0
821679,2014-04-04 08:59 PDT,0,0
821680,2014-04-04 07:59 PDT,0,0
821681,2014-04-04 07:00 PDT,0,0
821682,2014-04-04 05:59 PDT,0,0
821683,2014-04-04 05:00 PDT,0,0
821684,2014-04-04 04:01 PDT,0,0
821685,2014-04-04 03:04 PDT,0,0
821686,2014-04-04 03:01 PDT,0,0
821687,2014-04-04 02:01 PDT,0,0
821688,2014-04-04 01:00 PDT,0,10
821689,2014-04-04 00:00 PDT,0,0
821690,2014-04-03 22:58 PDT,0,20
821691,2014-04-03 22:00 PDT,0,0
821692,2014-04-03 20:55 PDT,0,0
821693,2014-04-03 20:01 PDT,0,0
821694,2014-04-03 19:00 PDT,0,0
821695,2014-04-03 18:00 PDT,0,0
821696,2014-04-03 16:54 PDT,0,0
821697,2014-04-03 16:01 PDT,0,0
821698,2014-04-03 16:00 PDT,0,10
821699,2014-04-03 14:55 PDT,0,0
821700,2014-04-03 13:55 PDT,0,0
821701,2014-04-03 13:54 PDT,0,0
821702,2014-04-03 12:58 PDT,0,0
821703,2014-04-03 11:55 PDT,0,0
821704,2014-04-03 10:55 PDT,0,0
821705,2014-04-03 09:52 PDT,0,0
821706,2014-04-03 08:47 PDT,0,0
821707,2014-04-03 08:47 PDT,0,0
821708,2014-04-03 06:58 PDT,0,0
821709,2014-04-03 05:55 PDT,0,0
821710,2014-04-03 04:55 PDT,0,0
821711,2014-04-03 04:01 PDT,0,0
821712,2014-04-03 02:47 PDT,0,0
821713,2014-04-03 02:00 PDT,0,0
821714,2014-04-03 00:53 PDT,0,0
821715,2014-04-02 23:58 PDT,0,0
821716,2014-04-02 22:57 PDT,0,0
821717,2014-04-02 21:59 PDT,0,10
821718,2014-04-02 20:56 PDT,0,10
821719,2014-04-02 19:50 PDT,0,0
821720,2014-04-02 18:53 PDT,0,0
821721,2014-04-02 18:00 PDT,0,10
821722,2014-04-02 17:00 PDT,0,30
821723,2014-04-02 16:00 PDT,0,10
821724,2014-04-02 16:00 PDT,0,20
821725,2014-04-02 15:00 PDT,0,10
821726,2014-04-02 14:00 PDT,0,10
821727,2014-04-02 13:16 PDT,0,0
821728,2014-04-02 13:16 PDT,0,0
821729,2014-04-02 13:16 PDT,0,0
821730,2014-04-02 12:01 PDT,0,0
821731,2014-04-02 10:55 PDT,0,0
821732,2014-04-02 10:01 PDT,0,0
821733,2014-04-02 09:01 PDT,0,0
821734,2014-04-02 08:00 PDT,0,0
821735,2014-04-02 06:50 PDT,0,0
821736,2014-04-02 05:57 PDT,0,0
821737,2014-04-02 05:09 PDT,0,0
821738,2014-04-02 04:09 PDT,0,0
821739,2014-04-02 03:02 PDT,0,0
821740,2014-04-02 01:45 PDT,0,0
821741,2014-04-02 01:04 PDT,0,45
821742,2014-04-01 23:58 PDT,0,20
821743,2014-04-01 22:57 PDT,0,30
821744,2014-04-01 21:51 PDT,0,0
821745,2014-04-01 21:03 PDT,0,0
821746,2014-04-01 19:55 PDT,0,0
