,Updated,Commercial Flow,Travellers Flow
286260,2014-04-04 12:45 EDT,0,0
286261,2014-04-04 11:45 EDT,0,0
286262,2014-04-04 11:00 EDT,0,0
286263,2014-04-04 09:46 EDT,0,0
286264,2014-04-04 08:45 EDT,0,0
286265,2014-04-04 07:45 EDT,0,0
286266,2014-04-04 07:43 EDT,0,0
286267,2014-04-04 06:40 EDT,0,0
286268,2014-04-04 05:45 EDT,0,0
286269,2014-04-04 04:54 EDT,0,0
286270,2014-04-04 04:31 EDT,0,0
286271,2014-04-04 04:28 EDT,0,0
286272,2014-04-04 04:28 EDT,0,0
286273,2014-04-04 03:04 EDT,0,0
286274,2014-04-04 02:46 EDT,0,0
286275,2014-04-04 01:52 EDT,0,0
286276,2014-04-04 00:51 EDT,0,0
286277,2014-04-03 23:45 EDT,0,0
286278,2014-04-03 23:06 EDT,0,0
286279,2014-04-03 22:56 EDT,0,0
286280,2014-04-03 21:47 EDT,0,0
286281,2014-04-03 21:02 EDT,0,0
286282,2014-04-03 19:59 EDT,0,0
286283,2014-04-03 18:45 EDT,0,0
286284,2014-04-03 17:46 EDT,0,0
286285,2014-04-03 17:11 EDT,0,10
286286,2014-04-03 15:46 EDT,0,0
286287,2014-04-03 14:47 EDT,0,0
286288,2014-04-03 13:46 EDT,0,0
286289,2014-04-03 13:01 EDT,10,0
286290,2014-04-03 11:45 EDT,0,0
286291,2014-04-03 10:46 EDT,0,0
286292,2014-04-03 09:56 EDT,0,0
286293,2014-04-03 08:45 EDT,0,0
286294,2014-04-03 07:45 EDT,0,0
286295,2014-04-03 06:51 EDT,0,0
286296,2014-04-03 06:04 EDT,0,0
286297,2014-04-03 04:51 EDT,0,0
286298,2014-04-03 03:52 EDT,0,0
286299,2014-04-03 02:51 EDT,0,0
286300,2014-04-03 01:45 EDT,0,0
286301,2014-04-03 00:45 EDT,0,0
286302,2014-04-02 23:45 EDT,0,0
286303,2014-04-02 22:46 EDT,0,0
286304,2014-04-02 21:46 EDT,0,0
286305,2014-04-02 20:53 EDT,0,0
286306,2014-04-02 19:45 EDT,0,0
286307,2014-04-02 18:45 EDT,0,0
286308,2014-04-02 17:45 EDT,0,0
286309,2014-04-02 16:46 EDT,0,0
286310,2014-04-02 16:46 EDT,0,0
286311,2014-04-02 14:45 EDT,0,0
286312,2014-04-02 13:53 EDT,0,0
286313,2014-04-02 12:53 EDT,0,0
286314,2014-04-02 11:45 EDT,0,0
286315,2014-04-02 10:46 EDT,0,0
286316,2014-04-02 09:45 EDT,0,0
286317,2014-04-02 08:45 EDT,0,0
286318,2014-04-02 07:51 EDT,0,0
286319,2014-04-02 06:49 EDT,0,0
286320,2014-04-02 05:45 EDT,0,0
286321,2014-04-02 04:45 EDT,0,0
286322,2014-04-02 03:45 EDT,0,0
286323,2014-04-02 03:06 EDT,0,0
286324,2014-04-02 01:52 EDT,0,0
286325,2014-04-02 00:52 EDT,0,0
286326,2014-04-01 23:47 EDT,0,0
286327,2014-04-01 23:02 EDT,0,0
286328,2014-04-01 22:48 EDT,10,0
286329,2014-04-01 22:48 EDT,0,0
286330,2014-04-01 21:55 EDT,0,0
286331,2014-04-01 20:48 EDT,0,0
286332,2014-04-01 19:57 EDT,0,0
286333,2014-04-01 18:48 EDT,0,0
286334,2014-04-01 18:06 EDT,0,0
286335,2014-04-01 18:06 EDT,0,0
286336,2014-04-01 15:47 EDT,0,0
286337,2014-04-01 14:58 EDT,0,0
286338,2014-04-01 13:46 EDT,0,0
286339,2014-04-01 12:46 EDT,0,0
286340,2014-04-01 11:47 EDT,0,0
286341,2014-04-01 10:45 EDT,0,0
286342,2014-04-01 09:51 EDT,0,0
286343,2014-04-01 08:45 EDT,0,0
286344,2014-04-01 08:45 EDT,0,0
286345,2014-04-01 07:49 EDT,0,0
286346,2014-04-01 07:46 EDT,0,0
286347,2014-04-01 06:47 EDT,0,0
286348,2014-04-01 06:45 EDT,0,0
286349,2014-04-01 05:46 EDT,0,0
286350,2014-04-01 04:46 EDT,0,0
286351,2014-04-01 03:52 EDT,0,0
286352,2014-04-01 03:08 EDT,0,0
286353,2014-04-01 01:50 EDT,0,0
286354,2014-04-01 00:46 EDT,0,0
286355,2014-03-31 23:47 EDT,0,0
286356,2014-03-31 22:46 EDT,10,0
286357,2014-03-31 21:46 EDT,10,0
286358,2014-03-31 21:07 EDT,10,0
286359,2014-03-31 19:47 EDT,0,0
286360,2014-03-31 18:45 EDT,0,0
286361,2014-03-31 17:45 EDT,0,0
286362,2014-03-31 16:49 EDT,0,0
286363,2014-03-31 15:51 EDT,0,0
286364,2014-03-31 14:46 EDT,0,0
286365,2014-03-31 13:50 EDT,0,0
286366,2014-03-31 12:55 EDT,0,0
286367,2014-03-31 11:49 EDT,0,0
286368,2014-03-31 10:57 EDT,0,0
286369,2014-03-31 09:54 EDT,0,0
286370,2014-03-31 08:53 EDT,0,0
286371,2014-03-31 07:54 EDT,0,0
286372,2014-03-31 06:47 EDT,0,0
286373,2014-03-31 05:45 EDT,0,0
286374,2014-03-31 04:50 EDT,0,0
286375,2014-03-31 03:46 EDT,0,0
286376,2014-03-31 02:50 EDT,0,0
286377,2014-03-31 01:56 EDT,0,0
286378,2014-03-31 00:45 EDT,0,0
286379,2014-03-30 23:45 EDT,0,0
286380,2014-03-30 23:13 EDT,0,0
286381,2014-03-30 22:45 EDT,0,0
286382,2014-03-30 22:45 EDT,0,0
286383,2014-03-30 22:45 EDT,0,0
286384,2014-03-30 20:46 EDT,0,0
286385,2014-03-30 19:51 EDT,0,0
286386,2014-03-30 18:45 EDT,0,0
286387,2014-03-30 17:48 EDT,0,20
286388,2014-03-30 17:36 EDT,0,10
286389,2014-03-30 17:31 EDT,0,20
286390,2014-03-30 17:31 EDT,0,30
286391,2014-03-30 16:47 EDT,0,20
286392,2014-03-30 15:47 EDT,0,30
286393,2014-03-30 14:58 EDT,0,10
286394,2014-03-30 14:45 EDT,0,10
286395,2014-03-30 14:45 EDT,0,10
286396,2014-03-30 13:02 EDT,0,10
286397,2014-03-30 12:22 EDT,0,0
286398,2014-03-30 12:02 EDT,0,0
286399,2014-03-30 12:02 EDT,0,0
286400,2014-03-30 10:03 EDT,0,0
286401,2014-03-30 08:46 EDT,0,0
286402,2014-03-30 07:49 EDT,0,0
286403,2014-03-30 07:00 EDT,0,0
286404,2014-03-30 06:49 EDT,0,0
286405,2014-03-30 05:57 EDT,0,0
286406,2014-03-30 05:46 EDT,0,0
286407,2014-03-30 04:46 EDT,0,0
286408,2014-03-30 04:46 EDT,0,0
286409,2014-03-30 04:02 EDT,0,0
