,Updated,Commercial Flow,Travellers Flow
413647,2014-04-04 12:57 EDT,0,0
413648,2014-04-04 11:55 EDT,0,0
413649,2014-04-04 10:47 EDT,0,0
413650,2014-04-04 09:55 EDT,0,0
413651,2014-04-04 08:53 EDT,0,0
413652,2014-04-04 08:01 EDT,0,0
413653,2014-04-04 06:58 EDT,0,0
413654,2014-04-04 05:57 EDT,0,0
413655,2014-04-04 04:45 EDT,0,0
413656,2014-04-04 03:48 EDT,0,0
413657,2014-04-04 02:55 EDT,0,0
413658,2014-04-04 01:54 EDT,0,0
413659,2014-04-04 00:55 EDT,0,0
413660,2014-04-03 23:48 EDT,0,0
413661,2014-04-03 23:28 EDT,0,0
413662,2014-04-03 23:28 EDT,0,0
413663,2014-04-03 21:52 EDT,0,0
413664,2014-04-03 21:43 EDT,0,0
413665,2014-04-03 21:43 EDT,0,0
413666,2014-04-03 19:49 EDT,0,0
413667,2014-04-03 19:13 EDT,0,0
413668,2014-04-03 18:01 EDT,0,0
413669,2014-04-03 16:55 EDT,0,0
413670,2014-04-03 15:49 EDT,0,0
413671,2014-04-03 14:53 EDT,0,0
413672,2014-04-03 14:39 EDT,0,0
413673,2014-04-03 14:39 EDT,0,0
413674,2014-04-03 14:39 EDT,0,0
413675,2014-04-03 14:39 EDT,0,0
413676,2014-04-03 14:39 EDT,0,0
413677,2014-04-03 14:39 EDT,0,0
413678,2014-04-03 14:39 EDT,0,0
413679,2014-04-03 14:39 EDT,0,0
413680,2014-04-03 06:57 EDT,0,0
413681,2014-04-03 05:47 EDT,0,0
413682,2014-04-03 04:49 EDT,0,0
413683,2014-04-03 03:49 EDT,0,0
413684,2014-04-03 03:00 EDT,0,0
413685,2014-04-03 01:58 EDT,0,0
413686,2014-04-03 00:58 EDT,0,0
413687,2014-04-02 23:47 EDT,0,0
413688,2014-04-02 23:34 EDT,0,0
413689,2014-04-02 23:34 EDT,0,0
413690,2014-04-02 21:45 EDT,0,0
413691,2014-04-02 21:05 EDT,0,0
413692,2014-04-02 19:50 EDT,0,0
413693,2014-04-02 19:02 EDT,0,0
413694,2014-04-02 17:58 EDT,0,0
413695,2014-04-02 17:11 EDT,0,0
413696,2014-04-02 16:16 EDT,0,0
413697,2014-04-02 16:16 EDT,0,0
413698,2014-04-02 15:00 EDT,0,0
413699,2014-04-02 13:48 EDT,0,0
413700,2014-04-02 13:03 EDT,0,0
413701,2014-04-02 11:56 EDT,0,0
413702,2014-04-02 10:55 EDT,0,0
413703,2014-04-02 10:05 EDT,0,0
413704,2014-04-02 10:03 EDT,0,0
413705,2014-04-02 10:03 EDT,0,0
413706,2014-04-02 09:38 EDT,0,0
413707,2014-04-02 09:38 EDT,0,0
413708,2014-04-02 09:38 EDT,0,0
413709,2014-04-02 07:14 EDT,0,0
413710,2014-04-02 07:13 EDT,0,0
413711,2014-04-02 06:22 EDT,0,0
413712,2014-04-02 06:14 EDT,0,0
413713,2014-04-02 06:13 EDT,0,0
413714,2014-04-02 06:06 EDT,0,0
413715,2014-04-02 05:01 EDT,0,0
413716,2014-04-02 03:42 EDT,0,0
413717,2014-04-02 03:00 EDT,0,0
413718,2014-04-02 02:50 EDT,0,0
413719,2014-04-02 02:10 EDT,0,0
413720,2014-04-02 01:50 EDT,0,0
413721,2014-04-02 00:49 EDT,0,0
413722,2014-04-02 00:48 EDT,0,0
413723,2014-04-01 23:47 EDT,0,0
413724,2014-04-01 22:58 EDT,0,0
