,Updated,Commercial Flow,Travellers Flow
369413,2014-04-04 13:06 EDT,0,0
369414,2014-04-04 12:05 EDT,0,0
369415,2014-04-04 11:09 EDT,0,0
369416,2014-04-04 11:07 EDT,0,0
369417,2014-04-04 11:07 EDT,0,0
369418,2014-04-04 09:07 EDT,0,0
369419,2014-04-04 08:13 EDT,0,0
369420,2014-04-04 08:13 EDT,0,0
369421,2014-04-04 08:12 EDT,0,0
369422,2014-04-04 08:12 EDT,0,0
369423,2014-04-04 06:01 EDT,0,0
369424,2014-04-04 04:48 EDT,0,0
369425,2014-04-04 03:51 EDT,0,0
369426,2014-04-04 02:51 EDT,0,0
369427,2014-04-04 02:07 EDT,0,0
369428,2014-04-04 01:04 EDT,0,0
369429,2014-04-03 23:45 EDT,0,0
369430,2014-04-03 23:05 EDT,0,0
369431,2014-04-03 22:46 EDT,0,0
369432,2014-04-03 22:00 EDT,0,0
369433,2014-04-03 21:01 EDT,0,0
369434,2014-04-03 20:46 EDT,0,0
369435,2014-04-03 20:00 EDT,10,0
369436,2014-04-03 19:57 EDT,10,0
369437,2014-04-03 19:47 EDT,20,0
369438,2014-04-03 19:03 EDT,10,0
369439,2014-04-03 18:47 EDT,0,0
369440,2014-04-03 18:12 EDT,0,0
369441,2014-04-03 17:00 EDT,0,0
369442,2014-04-03 16:47 EDT,0,0
369443,2014-04-03 16:01 EDT,0,0
369444,2014-04-03 15:02 EDT,0,0
369445,2014-04-03 14:49 EDT,0,0
369446,2014-04-03 14:01 EDT,0,0
369447,2014-04-03 14:00 EDT,0,0
369448,2014-04-03 13:16 EDT,0,0
369449,2014-04-03 13:15 EDT,0,0
369450,2014-04-03 13:15 EDT,0,0
369451,2014-04-03 13:15 EDT,0,0
369452,2014-04-03 12:01 EDT,20,0
369453,2014-04-03 11:01 EDT,0,0
369454,2014-04-03 10:00 EDT,0,0
369455,2014-04-03 09:27 EDT,0,0
369456,2014-04-03 09:01 EDT,10,0
369457,2014-04-03 08:01 EDT,0,0
369458,2014-04-03 06:45 EDT,0,0
369459,2014-04-03 05:58 EDT,0,0
369460,2014-04-03 04:51 EDT,0,0
369461,2014-04-03 03:51 EDT,0,0
369462,2014-04-03 02:59 EDT,0,0
369463,2014-04-03 01:48 EDT,0,0
