,Updated,Commercial Flow,Travellers Flow
328437,2014-04-04 13:01 EDT,0,0
328438,2014-04-04 11:50 EDT,0,0
328439,2014-04-04 10:58 EDT,0,0
328440,2014-04-04 09:47 EDT,0,0
328441,2014-04-04 08:50 EDT,0,0
328442,2014-04-04 07:51 EDT,0,0
328443,2014-04-04 06:48 EDT,0,0
328444,2014-04-04 05:46 EDT,0,0
328445,2014-04-04 05:45 EDT,0,20
328446,2014-04-04 04:59 EDT,0,20
328447,2014-04-04 03:53 EDT,0,20
328448,2014-04-04 03:13 EDT,0,20
328449,2014-04-04 02:08 EDT,0,20
328450,2014-04-04 00:45 EDT,0,20
328451,2014-04-04 00:07 EDT,0,20
328452,2014-04-04 00:07 EDT,0,20
328453,2014-04-03 21:51 EDT,0,20
328454,2014-04-03 20:47 EDT,0,20
328455,2014-04-03 19:47 EDT,0,0
328456,2014-04-03 18:46 EDT,0,0
328457,2014-04-03 17:45 EDT,0,0
328458,2014-04-03 16:47 EDT,0,0
328459,2014-04-03 15:58 EDT,0,0
328460,2014-04-03 14:53 EDT,0,0
328461,2014-04-03 13:59 EDT,0,0
328462,2014-04-03 13:46 EDT,0,0
328463,2014-04-03 12:47 EDT,0,0
328464,2014-04-03 11:45 EDT,0,0
328465,2014-04-03 10:56 EDT,0,0
328466,2014-04-03 09:45 EDT,0,0
328467,2014-04-03 08:52 EDT,0,0
328468,2014-04-03 07:45 EDT,0,0
328469,2014-04-03 06:59 EDT,0,0
328470,2014-04-03 05:46 EDT,0,0
328471,2014-04-03 04:45 EDT,0,0
328472,2014-04-03 03:55 EDT,0,0
328473,2014-04-03 02:52 EDT,0,0
328474,2014-04-03 01:45 EDT,0,0
328475,2014-04-03 00:45 EDT,0,0
328476,2014-04-02 23:53 EDT,0,0
328477,2014-04-02 23:45 EDT,0,0
328478,2014-04-02 22:45 EDT,0,0
328479,2014-04-02 21:46 EDT,0,0
328480,2014-04-02 20:48 EDT,0,0
328481,2014-04-02 19:45 EDT,0,0
328482,2014-04-02 18:46 EDT,0,0
328483,2014-04-02 17:53 EDT,0,0
328484,2014-04-02 16:51 EDT,0,0
328485,2014-04-02 15:46 EDT,0,0
328486,2014-04-02 14:47 EDT,0,0
328487,2014-04-02 13:48 EDT,0,0
328488,2014-04-02 12:46 EDT,0,0
328489,2014-04-02 12:00 EDT,0,0
328490,2014-04-02 11:45 EDT,0,0
328491,2014-04-02 10:47 EDT,0,0
328492,2014-04-02 09:46 EDT,0,0
328493,2014-04-02 08:47 EDT,0,0
328494,2014-04-02 07:46 EDT,0,0
328495,2014-04-02 06:59 EDT,0,0
328496,2014-04-02 06:59 EDT,0,0
328497,2014-04-02 06:59 EDT,0,0
328498,2014-04-02 03:49 EDT,0,0
328499,2014-04-02 02:49 EDT,0,0
328500,2014-04-02 01:58 EDT,0,0
328501,2014-04-02 01:06 EDT,0,0
328502,2014-04-01 23:45 EDT,0,0
328503,2014-04-01 22:46 EDT,0,0
328504,2014-04-01 21:51 EDT,0,0
328505,2014-04-01 20:51 EDT,0,0
328506,2014-04-01 19:49 EDT,0,0
328507,2014-04-01 18:51 EDT,0,0
328508,2014-04-01 18:06 EDT,0,0
328509,2014-04-01 16:52 EDT,0,0
328510,2014-04-01 15:51 EDT,0,0
328511,2014-04-01 14:45 EDT,0,0
328512,2014-04-01 13:48 EDT,0,0
328513,2014-04-01 13:03 EDT,0,0
328514,2014-04-01 11:51 EDT,0,0
328515,2014-04-01 10:48 EDT,0,0
328516,2014-04-01 09:55 EDT,0,0
328517,2014-04-01 09:01 EDT,0,0
328518,2014-04-01 07:59 EDT,0,0
328519,2014-04-01 06:54 EDT,0,0
328520,2014-04-01 06:54 EDT,0,0
328521,2014-04-01 06:54 EDT,0,0
328522,2014-04-01 06:54 EDT,0,0
328523,2014-04-01 06:53 EDT,0,0
328524,2014-04-01 06:53 EDT,0,0
328525,2014-04-01 06:53 EDT,0,0
328526,2014-04-01 06:53 EDT,0,0
328527,2014-04-01 02:54 EDT,0,0
328528,2014-04-01 01:45 EDT,0,0
328529,2014-04-01 01:38 EDT,0,0
328530,2014-04-01 01:38 EDT,0,0
328531,2014-03-31 23:45 EDT,0,0
328532,2014-03-31 22:59 EDT,0,0
328533,2014-03-31 21:45 EDT,0,0
328534,2014-03-31 21:44 EDT,0,0
328535,2014-03-31 20:50 EDT,0,0
328536,2014-03-31 19:46 EDT,0,0
328537,2014-03-31 18:49 EDT,0,0
328538,2014-03-31 17:52 EDT,0,0
328539,2014-03-31 16:53 EDT,0,0
328540,2014-03-31 15:50 EDT,0,0
328541,2014-03-31 14:45 EDT,0,0
328542,2014-03-31 13:45 EDT,0,0
328543,2014-03-31 12:45 EDT,0,0
328544,2014-03-31 11:45 EDT,0,0
328545,2014-03-31 10:45 EDT,0,0
328546,2014-03-31 09:45 EDT,0,0
328547,2014-03-31 08:45 EDT,0,0
328548,2014-03-31 07:57 EDT,0,0
328549,2014-03-31 06:54 EDT,0,0
328550,2014-03-31 05:45 EDT,0,0
328551,2014-03-31 04:49 EDT,0,0
328552,2014-03-31 03:45 EDT,0,0
328553,2014-03-31 02:45 EDT,0,0
328554,2014-03-31 01:46 EDT,0,0
328555,2014-03-31 01:46 EDT,0,0
328556,2014-03-31 01:11 EDT,0,0
328557,2014-03-31 00:52 EDT,0,0
328558,2014-03-30 23:46 EDT,0,0
328559,2014-03-30 22:47 EDT,0,0
328560,2014-03-30 21:45 EDT,0,0
328561,2014-03-30 20:46 EDT,0,0
328562,2014-03-30 19:49 EDT,0,0
328563,2014-03-30 18:57 EDT,0,0
328564,2014-03-30 18:43 EDT,0,0
328565,2014-03-30 18:42 EDT,0,0
328566,2014-03-30 18:42 EDT,0,0
328567,2014-03-30 16:45 EDT,0,0
328568,2014-03-30 15:45 EDT,0,0
328569,2014-03-30 15:05 EDT,0,0
328570,2014-03-30 13:45 EDT,0,0
328571,2014-03-30 12:45 EDT,0,0
328572,2014-03-30 11:58 EDT,0,0
328573,2014-03-30 11:47 EDT,0,0
328574,2014-03-30 11:00 EDT,0,0
328575,2014-03-30 10:02 EDT,0,0
328576,2014-03-30 08:58 EDT,0,0
328577,2014-03-30 08:03 EDT,0,0
328578,2014-03-30 08:00 EDT,0,0
328579,2014-03-30 06:46 EDT,0,0
328580,2014-03-30 05:45 EDT,0,0
328581,2014-03-30 04:56 EDT,0,0
328582,2014-03-30 04:54 EDT,0,0
328583,2014-03-30 03:51 EDT,0,0
328584,2014-03-30 03:50 EDT,0,0
328585,2014-03-30 03:00 EDT,0,0
328586,2014-03-30 02:45 EDT,0,0
328587,2014-03-30 02:03 EDT,0,0
328588,2014-03-30 02:01 EDT,0,0
328589,2014-03-30 01:05 EDT,0,0
328590,2014-03-29 23:54 EDT,0,0
328591,2014-03-29 22:49 EDT,0,0
328592,2014-03-29 21:51 EDT,0,0
328593,2014-03-29 20:56 EDT,0,0
328594,2014-03-29 19:49 EDT,0,10
328595,2014-03-29 19:02 EDT,0,30
328596,2014-03-29 18:07 EDT,0,45
328597,2014-03-29 16:50 EDT,0,30
328598,2014-03-29 15:51 EDT,0,20
328599,2014-03-29 15:09 EDT,0,10
328600,2014-03-29 13:45 EDT,0,0
328601,2014-03-29 12:45 EDT,0,0
328602,2014-03-29 11:45 EDT,0,0
328603,2014-03-29 10:45 EDT,0,10
328604,2014-03-29 09:46 EDT,0,10
328605,2014-03-29 08:45 EDT,0,0
328606,2014-03-29 07:45 EDT,0,0
328607,2014-03-29 07:45 EDT,0,0
328608,2014-03-29 05:47 EDT,0,0
328609,2014-03-29 04:59 EDT,0,0
328610,2014-03-29 03:46 EDT,0,0
328611,2014-03-29 02:46 EDT,0,0
328612,2014-03-29 01:47 EDT,0,0
328613,2014-03-29 00:45 EDT,0,0
328614,2014-03-28 23:57 EDT,0,0
328615,2014-03-28 22:45 EDT,0,0
328616,2014-03-28 21:46 EDT,0,0
328617,2014-03-28 21:02 EDT,0,0
328618,2014-03-28 19:46 EDT,0,0
328619,2014-03-28 18:48 EDT,0,0
328620,2014-03-28 17:52 EDT,0,0
328621,2014-03-28 16:49 EDT,0,0
328622,2014-03-28 15:49 EDT,0,0
328623,2014-03-28 14:47 EDT,0,0
328624,2014-03-28 13:45 EDT,0,0
328625,2014-03-28 12:45 EDT,0,0
328626,2014-03-28 11:48 EDT,0,0
328627,2014-03-28 10:46 EDT,0,0
328628,2014-03-28 09:51 EDT,0,0
328629,2014-03-28 08:47 EDT,0,0
328630,2014-03-28 07:47 EDT,0,0
328631,2014-03-28 06:58 EDT,0,0
328632,2014-03-28 06:01 EDT,0,0
328633,2014-03-28 05:04 EDT,0,0
328634,2014-03-28 04:49 EDT,0,0
328635,2014-03-28 03:55 EDT,0,0
328636,2014-03-28 03:04 EDT,0,0
328637,2014-03-28 02:04 EDT,0,0
328638,2014-03-28 00:47 EDT,0,0
328639,2014-03-27 23:47 EDT,0,0
328640,2014-03-27 22:46 EDT,0,0
328641,2014-03-27 21:49 EDT,0,0
328642,2014-03-27 20:52 EDT,0,0
328643,2014-03-27 19:46 EDT,0,0
328644,2014-03-27 18:46 EDT,0,0
328645,2014-03-27 18:43 EDT,0,0
328646,2014-03-27 17:57 EDT,0,0
328647,2014-03-27 16:45 EDT,0,0
328648,2014-03-27 15:47 EDT,0,0
328649,2014-03-27 14:47 EDT,0,0
328650,2014-03-27 13:46 EDT,0,0
328651,2014-03-27 12:51 EDT,0,0
328652,2014-03-27 11:45 EDT,0,0
328653,2014-03-27 10:47 EDT,0,0
328654,2014-03-27 10:10 EDT,0,0
328655,2014-03-27 08:45 EDT,0,0
328656,2014-03-27 07:46 EDT,0,0
328657,2014-03-27 06:25 EDT,0,0
328658,2014-03-27 05:46 EDT,0,0
328659,2014-03-27 04:50 EDT,0,0
328660,2014-03-27 03:49 EDT,0,0
328661,2014-03-27 02:51 EDT,0,0
328662,2014-03-27 01:45 EDT,0,0
328663,2014-03-27 00:52 EDT,0,0
328664,2014-03-26 23:45 EDT,0,0
328665,2014-03-26 23:06 EDT,0,0
328666,2014-03-26 22:49 EDT,0,0
328667,2014-03-26 21:49 EDT,0,0
328668,2014-03-26 20:45 EDT,0,0
328669,2014-03-26 20:07 EDT,0,0
328670,2014-03-26 18:56 EDT,0,0
328671,2014-03-26 17:46 EDT,0,0
328672,2014-03-26 16:47 EDT,0,0
328673,2014-03-26 16:05 EDT,0,0
328674,2014-03-26 14:47 EDT,0,0
328675,2014-03-26 13:46 EDT,0,0
328676,2014-03-26 12:48 EDT,0,0
328677,2014-03-26 11:50 EDT,0,0
328678,2014-03-26 10:45 EDT,0,0
328679,2014-03-26 09:47 EDT,0,0
328680,2014-03-26 08:45 EDT,0,0
328681,2014-03-26 07:50 EDT,0,0
328682,2014-03-26 07:50 EDT,0,0
328683,2014-03-26 05:59 EDT,0,0
328684,2014-03-26 04:45 EDT,0,0
328685,2014-03-26 03:59 EDT,0,0
328686,2014-03-26 03:59 EDT,0,0
328687,2014-03-26 02:04 EDT,0,0
328688,2014-03-26 02:04 EDT,0,0
328689,2014-03-25 23:50 EDT,0,0
328690,2014-03-25 23:50 EDT,0,0
328691,2014-03-25 21:53 EDT,0,0
328692,2014-03-25 20:45 EDT,0,0
328693,2014-03-25 19:45 EDT,0,0
328694,2014-03-25 18:45 EDT,0,0
328695,2014-03-25 17:45 EDT,0,0
328696,2014-03-25 16:57 EDT,0,0
328697,2014-03-25 15:46 EDT,0,10
328698,2014-03-25 14:47 EDT,0,0
328699,2014-03-25 13:48 EDT,0,0
328700,2014-03-25 12:48 EDT,0,0
328701,2014-03-25 12:48 EDT,0,10
328702,2014-03-25 11:45 EDT,0,10
328703,2014-03-25 10:49 EDT,0,0
328704,2014-03-25 09:48 EDT,0,0
328705,2014-03-25 08:50 EDT,0,0
328706,2014-03-25 07:48 EDT,0,0
328707,2014-03-25 06:51 EDT,0,0
328708,2014-03-25 05:56 EDT,0,0
328709,2014-03-25 04:55 EDT,0,0
328710,2014-03-25 03:50 EDT,0,0
328711,2014-03-25 02:49 EDT,0,0
328712,2014-03-25 01:46 EDT,0,0
328713,2014-03-25 01:46 EDT,0,0
328714,2014-03-24 23:46 EDT,0,0
328715,2014-03-24 22:51 EDT,0,0
328716,2014-03-24 21:52 EDT,0,0
328717,2014-03-24 21:06 EDT,0,0
328718,2014-03-24 19:57 EDT,0,0
328719,2014-03-24 18:52 EDT,0,0
328720,2014-03-24 17:52 EDT,0,0
328721,2014-03-24 17:01 EDT,0,0
328722,2014-03-24 15:51 EDT,0,0
328723,2014-03-24 14:46 EDT,0,0
328724,2014-03-24 13:49 EDT,0,0
328725,2014-03-24 12:46 EDT,0,0
328726,2014-03-24 11:50 EDT,0,0
328727,2014-03-24 10:47 EDT,0,0
328728,2014-03-24 09:52 EDT,0,0
328729,2014-03-24 08:45 EDT,0,0
328730,2014-03-24 08:34 EDT,0,0
328731,2014-03-24 08:34 EDT,0,0
328732,2014-03-24 08:34 EDT,0,0
328733,2014-03-24 07:48 EDT,0,0
328734,2014-03-24 07:48 EDT,0,0
328735,2014-03-24 07:48 EDT,0,0
328736,2014-03-24 07:48 EDT,0,0
328737,2014-03-24 03:47 EDT,0,0
328738,2014-03-24 02:51 EDT,0,0
328739,2014-03-24 01:59 EDT,0,0
328740,2014-03-24 01:45 EDT,0,0
328741,2014-03-24 00:49 EDT,0,0
328742,2014-03-24 00:47 EDT,0,0
328743,2014-03-24 00:13 EDT,0,0
328744,2014-03-24 00:00 EDT,0,0
328745,2014-03-23 22:49 EDT,0,0
328746,2014-03-23 21:57 EDT,0,0
328747,2014-03-23 20:45 EDT,0,0
328748,2014-03-23 19:45 EDT,0,0
328749,2014-03-23 18:46 EDT,0,0
328750,2014-03-23 17:45 EDT,0,0
328751,2014-03-23 16:46 EDT,0,0
328752,2014-03-23 15:45 EDT,0,0
328753,2014-03-23 14:45 EDT,0,0
328754,2014-03-23 13:54 EDT,0,0
328755,2014-03-23 12:48 EDT,0,0
328756,2014-03-23 11:48 EDT,0,0
328757,2014-03-23 10:45 EDT,0,0
328758,2014-03-23 09:46 EDT,0,0
328759,2014-03-23 08:54 EDT,0,0
328760,2014-03-23 07:46 EDT,0,0
328761,2014-03-23 07:45 EDT,0,0
328762,2014-03-23 07:45 EDT,0,0
328763,2014-03-23 05:45 EDT,0,0
328764,2014-03-23 05:45 EDT,0,0
328765,2014-03-23 04:48 EDT,0,0
328766,2014-03-23 03:45 EDT,0,0
328767,2014-03-23 03:44 EDT,0,0
328768,2014-03-23 03:01 EDT,0,0
328769,2014-03-23 01:45 EDT,0,0
328770,2014-03-23 00:48 EDT,0,0
328771,2014-03-22 23:50 EDT,0,0
