,Updated,Commercial Flow,Travellers Flow
158451,2014-04-04 13:04 EDT,0,0
158452,2014-04-04 12:46 EDT,0,0
158453,2014-04-04 11:58 EDT,0,0
158454,2014-04-04 11:58 EDT,0,0
158455,2014-04-04 11:58 EDT,0,0
158456,2014-04-04 09:56 EDT,0,0
158457,2014-04-04 09:55 EDT,0,0
158458,2014-04-04 09:55 EDT,0,0
158459,2014-04-04 08:07 EDT,0,0
158460,2014-04-04 06:54 EDT,0,0
158461,2014-04-04 06:08 EDT,0,0
158462,2014-04-04 04:52 EDT,0,0
158463,2014-04-04 04:22 EDT,0,0
158464,2014-04-04 04:21 EDT,0,0
158465,2014-04-04 04:21 EDT,0,0
158466,2014-04-04 04:21 EDT,0,0
158467,2014-04-04 02:49 EDT,0,0
158468,2014-04-04 02:00 EDT,0,0
158469,2014-04-04 00:52 EDT,0,0
158470,2014-04-04 00:02 EDT,0,0
158471,2014-04-03 23:52 EDT,0,0
158472,2014-04-03 22:54 EDT,0,0
158473,2014-04-03 21:54 EDT,0,0
158474,2014-04-03 20:51 EDT,0,0
158475,2014-04-03 19:59 EDT,0,0
158476,2014-04-03 18:53 EDT,0,0
158477,2014-04-03 17:57 EDT,0,10
158478,2014-04-03 17:57 EDT,0,10
158479,2014-04-03 15:56 EDT,0,0
158480,2014-04-03 15:04 EDT,0,0
158481,2014-04-03 15:00 EDT,0,0
158482,2014-04-03 13:49 EDT,0,0
158483,2014-04-03 12:49 EDT,0,0
158484,2014-04-03 12:49 EDT,0,0
158485,2014-04-03 12:49 EDT,0,0
158486,2014-04-03 10:56 EDT,0,0
158487,2014-04-03 10:48 EDT,0,0
158488,2014-04-03 09:53 EDT,0,0
158489,2014-04-03 08:50 EDT,0,0
158490,2014-04-03 08:00 EDT,0,0
158491,2014-04-03 07:02 EDT,0,0
158492,2014-04-03 07:00 EDT,0,0
158493,2014-04-03 05:58 EDT,0,0
158494,2014-04-03 05:03 EDT,0,0
158495,2014-04-03 04:55 EDT,0,0
158496,2014-04-03 04:01 EDT,0,0
158497,2014-04-03 02:58 EDT,0,0
158498,2014-04-03 02:04 EDT,0,0
158499,2014-04-03 01:01 EDT,0,0
158500,2014-04-02 23:46 EDT,0,0
158501,2014-04-02 22:52 EDT,0,0
158502,2014-04-02 21:56 EDT,0,0
158503,2014-04-02 20:47 EDT,0,0
158504,2014-04-02 19:49 EDT,0,0
158505,2014-04-02 19:49 EDT,0,0
158506,2014-04-02 17:53 EDT,0,0
158507,2014-04-02 16:49 EDT,0,0
