,Updated,Commercial Flow,Travellers Flow
0,2014-04-04 12:58 ADT,0,0
1,2014-04-04 11:55 ADT,0,0
2,2014-04-04 10:46 ADT,0,0
3,2014-04-04 10:14 ADT,0,0
4,2014-04-04 09:02 ADT,0,0
5,2014-04-04 08:00 ADT,0,0
6,2014-04-04 06:45 ADT,0,0
7,2014-04-04 06:09 ADT,0,0
8,2014-04-04 05:08 ADT,0,0
9,2014-04-04 05:08 ADT,0,0
10,2014-04-04 04:08 ADT,0,0
11,2014-04-04 03:08 ADT,0,0
12,2014-04-04 03:08 ADT,0,0
13,2014-04-04 01:08 ADT,0,0
14,2014-04-04 00:08 ADT,0,0
15,2014-04-03 23:04 ADT,0,0
16,2014-04-03 21:47 ADT,0,0
17,2014-04-03 21:00 ADT,0,0
18,2014-04-03 20:00 ADT,0,0
19,2014-04-03 19:02 ADT,0,10
20,2014-04-03 17:59 ADT,0,10
21,2014-04-03 16:53 ADT,0,0
22,2014-04-03 16:00 ADT,0,0
23,2014-04-03 15:01 ADT,0,0
24,2014-04-03 13:57 ADT,0,0
25,2014-04-03 13:00 ADT,0,0
26,2014-04-03 11:47 ADT,0,0
27,2014-04-03 10:56 ADT,0,0
28,2014-04-03 10:06 ADT,0,0
29,2014-04-03 08:49 ADT,0,0
30,2014-04-03 07:53 ADT,0,0
31,2014-04-03 06:45 ADT,0,0
32,2014-04-03 06:45 ADT,0,0
33,2014-04-03 05:50 ADT,0,0
34,2014-04-03 05:46 ADT,0,0
35,2014-04-03 04:58 ADT,0,0
36,2014-04-03 04:58 ADT,0,0
37,2014-04-03 04:46 ADT,0,0
38,2014-04-03 03:49 ADT,0,0
39,2014-04-03 02:56 ADT,0,0
40,2014-04-03 02:56 ADT,0,0
41,2014-04-03 01:55 ADT,0,0
42,2014-04-03 01:55 ADT,0,0
43,2014-04-03 00:56 ADT,0,0
44,2014-04-03 00:00 ADT,0,0
45,2014-04-02 23:00 ADT,0,0
46,2014-04-02 21:53 ADT,0,0
47,2014-04-02 21:11 ADT,0,0
48,2014-04-02 19:57 ADT,0,0
49,2014-04-02 18:56 ADT,0,0
50,2014-04-02 17:56 ADT,0,0
51,2014-04-02 16:55 ADT,0,0
52,2014-04-02 15:49 ADT,0,0
53,2014-04-02 14:55 ADT,0,0
54,2014-04-02 13:53 ADT,0,10
55,2014-04-02 12:56 ADT,0,10
56,2014-04-02 12:15 ADT,0,20
57,2014-04-02 11:51 ADT,0,0
58,2014-04-02 10:50 ADT,0,10
59,2014-04-02 09:47 ADT,0,10
60,2014-04-02 08:56 ADT,0,0
61,2014-04-02 08:05 ADT,0,0
62,2014-04-02 07:50 ADT,0,0
63,2014-04-02 06:49 ADT,0,0
64,2014-04-02 06:46 ADT,0,0
65,2014-04-02 06:46 ADT,0,0
66,2014-04-02 06:43 ADT,0,0
67,2014-04-02 06:43 ADT,0,0
68,2014-04-02 06:43 ADT,0,0
69,2014-04-02 05:55 ADT,0,0
70,2014-04-02 05:54 ADT,0,0
71,2014-04-02 05:42 ADT,0,0
72,2014-04-02 04:45 ADT,0,0
73,2014-04-02 03:56 ADT,0,0
74,2014-04-02 03:51 ADT,0,0
75,2014-04-02 02:47 ADT,0,0
76,2014-04-02 01:46 ADT,0,0
77,2014-04-02 01:45 ADT,0,0
78,2014-04-02 00:49 ADT,0,0
79,2014-04-02 00:03 ADT,0,0
80,2014-04-01 22:47 ADT,0,0
81,2014-04-01 22:00 ADT,0,0
82,2014-04-01 21:50 ADT,0,0
83,2014-04-01 21:02 ADT,0,0
84,2014-04-01 19:49 ADT,0,0
85,2014-04-01 18:52 ADT,0,0
86,2014-04-01 17:48 ADT,0,0
87,2014-04-01 17:02 ADT,0,0
88,2014-04-01 15:43 ADT,0,0
89,2014-04-01 14:49 ADT,0,0
90,2014-04-01 14:08 ADT,0,0
91,2014-04-01 13:07 ADT,0,0
92,2014-04-01 12:46 ADT,0,0
93,2014-04-01 11:52 ADT,0,10
94,2014-04-01 11:00 ADT,0,0
95,2014-04-01 09:45 ADT,0,0
96,2014-04-01 08:53 ADT,0,0
97,2014-04-01 08:00 ADT,0,0
98,2014-04-01 06:49 ADT,0,0
99,2014-04-01 06:49 ADT,0,0
100,2014-04-01 04:58 ADT,0,0
101,2014-04-01 03:57 ADT,0,0
102,2014-04-01 02:50 ADT,0,0
103,2014-04-01 01:57 ADT,0,0
104,2014-04-01 01:15 ADT,0,0
105,2014-04-01 01:15 ADT,0,0
106,2014-03-31 23:57 ADT,0,0
107,2014-03-31 22:57 ADT,0,0
108,2014-03-31 21:56 ADT,0,0
109,2014-03-31 20:53 ADT,0,0
110,2014-03-31 19:47 ADT,0,0
111,2014-03-31 18:55 ADT,0,0
112,2014-03-31 17:55 ADT,0,0
113,2014-03-31 16:54 ADT,0,0
114,2014-03-31 15:56 ADT,0,0
115,2014-03-31 15:56 ADT,0,0
116,2014-03-31 14:01 ADT,0,0
117,2014-03-31 13:05 ADT,0,0
118,2014-03-31 11:53 ADT,0,0
119,2014-03-31 11:53 ADT,0,0
120,2014-03-31 11:06 ADT,0,0
121,2014-03-31 10:36 ADT,0,0
122,2014-03-31 10:15 ADT,0,0
123,2014-03-31 10:15 ADT,0,0
124,2014-03-31 08:54 ADT,0,0
125,2014-03-31 07:58 ADT,0,0
126,2014-03-31 07:01 ADT,0,0
127,2014-03-31 05:56 ADT,0,0
128,2014-03-31 05:02 ADT,0,0
129,2014-03-31 03:53 ADT,0,0
130,2014-03-31 03:02 ADT,0,0
131,2014-03-31 02:01 ADT,0,0
132,2014-03-31 00:48 ADT,0,0
133,2014-03-30 23:47 ADT,0,0
134,2014-03-30 22:54 ADT,0,0
135,2014-03-30 21:54 ADT,0,0
136,2014-03-30 21:00 ADT,0,0
137,2014-03-30 20:59 ADT,0,0
138,2014-03-30 19:56 ADT,0,0
139,2014-03-30 19:01 ADT,0,0
140,2014-03-30 17:58 ADT,0,0
141,2014-03-30 17:58 ADT,0,0
142,2014-03-30 15:56 ADT,0,0
143,2014-03-30 15:51 ADT,0,0
144,2014-03-30 14:58 ADT,0,0
145,2014-03-30 14:05 ADT,0,0
146,2014-03-30 13:10 ADT,0,0
147,2014-03-30 11:54 ADT,0,0
148,2014-03-30 11:05 ADT,0,0
149,2014-03-30 10:08 ADT,0,0
150,2014-03-30 08:55 ADT,0,0
151,2014-03-30 08:04 ADT,0,0
152,2014-03-30 07:06 ADT,0,0
153,2014-03-30 06:48 ADT,0,0
154,2014-03-30 06:02 ADT,0,0
155,2014-03-30 04:49 ADT,0,0
156,2014-03-30 03:48 ADT,0,0
157,2014-03-30 02:57 ADT,0,0
158,2014-03-30 02:05 ADT,0,0
159,2014-03-30 01:04 ADT,0,0
160,2014-03-30 00:04 ADT,0,0
161,2014-03-29 23:04 ADT,0,0
162,2014-03-29 22:04 ADT,0,0
163,2014-03-29 20:56 ADT,0,0
164,2014-03-29 19:56 ADT,0,0
165,2014-03-29 18:56 ADT,0,20
166,2014-03-29 18:05 ADT,0,0
167,2014-03-29 17:00 ADT,0,10
168,2014-03-29 17:00 ADT,0,0
169,2014-03-29 17:00 ADT,0,20
170,2014-03-29 15:59 ADT,0,20
171,2014-03-29 15:05 ADT,0,30
172,2014-03-29 14:01 ADT,0,10
173,2014-03-29 14:01 ADT,0,0
174,2014-03-29 12:56 ADT,0,0
175,2014-03-29 12:05 ADT,0,10
176,2014-03-29 12:05 ADT,0,0
177,2014-03-29 11:02 ADT,0,0
178,2014-03-29 09:54 ADT,0,10
179,2014-03-29 09:03 ADT,0,0
180,2014-03-29 08:02 ADT,0,0
181,2014-03-29 06:52 ADT,0,0
182,2014-03-29 05:56 ADT,0,0
183,2014-03-29 05:00 ADT,0,0
184,2014-03-29 04:00 ADT,0,0
185,2014-03-29 02:54 ADT,0,0
186,2014-03-29 01:49 ADT,0,0
187,2014-03-29 01:00 ADT,0,0
188,2014-03-29 00:00 ADT,0,0
189,2014-03-28 23:00 ADT,0,0
190,2014-03-28 22:08 ADT,0,0
191,2014-03-28 20:59 ADT,0,0
192,2014-03-28 19:59 ADT,0,10
193,2014-03-28 18:46 ADT,0,0
194,2014-03-28 17:51 ADT,0,0
195,2014-03-28 16:51 ADT,0,10
196,2014-03-28 16:00 ADT,0,10
197,2014-03-28 14:57 ADT,0,0
198,2014-03-28 14:00 ADT,0,0
199,2014-03-28 12:53 ADT,0,0
200,2014-03-28 11:47 ADT,0,10
201,2014-03-28 10:48 ADT,0,0
202,2014-03-28 10:45 ADT,0,0
203,2014-03-28 10:01 ADT,0,10
204,2014-03-28 09:01 ADT,0,0
205,2014-03-28 08:01 ADT,0,0
206,2014-03-28 07:01 ADT,0,0
207,2014-03-28 05:52 ADT,0,0
208,2014-03-28 05:00 ADT,0,0
209,2014-03-28 04:00 ADT,0,0
210,2014-03-28 02:48 ADT,0,0
211,2014-03-28 01:47 ADT,0,0
212,2014-03-28 01:00 ADT,0,0
213,2014-03-28 00:00 ADT,0,0
214,2014-03-27 23:00 ADT,0,0
215,2014-03-27 21:47 ADT,0,0
216,2014-03-27 21:00 ADT,0,0
217,2014-03-27 19:56 ADT,0,10
218,2014-03-27 18:50 ADT,0,0
219,2014-03-27 18:08 ADT,0,0
220,2014-03-27 16:49 ADT,0,0
221,2014-03-27 15:46 ADT,0,0
222,2014-03-27 14:59 ADT,0,0
223,2014-03-27 13:59 ADT,0,0
224,2014-03-27 12:58 ADT,0,10
225,2014-03-27 11:59 ADT,0,10
226,2014-03-27 10:52 ADT,0,10
227,2014-03-27 09:56 ADT,0,0
228,2014-03-27 09:56 ADT,0,0
229,2014-03-27 08:58 ADT,0,0
230,2014-03-27 07:58 ADT,0,0
231,2014-03-27 06:54 ADT,0,0
232,2014-03-27 05:59 ADT,0,0
233,2014-03-27 04:58 ADT,0,0
234,2014-03-27 03:58 ADT,0,0
235,2014-03-27 02:57 ADT,0,0
236,2014-03-27 01:46 ADT,0,0
237,2014-03-27 00:50 ADT,0,0
238,2014-03-26 23:51 ADT,0,0
239,2014-03-26 22:46 ADT,0,0
240,2014-03-26 21:49 ADT,0,0
241,2014-03-26 20:57 ADT,0,0
242,2014-03-26 19:56 ADT,0,0
243,2014-03-26 18:56 ADT,0,0
244,2014-03-26 17:55 ADT,0,0
245,2014-03-26 16:56 ADT,0,0
246,2014-03-26 15:55 ADT,0,0
247,2014-03-26 14:47 ADT,0,0
248,2014-03-26 13:56 ADT,0,0
249,2014-03-26 12:45 ADT,0,0
250,2014-03-26 11:47 ADT,0,0
251,2014-03-26 11:03 ADT,0,0
252,2014-03-26 10:02 ADT,0,0
253,2014-03-26 09:03 ADT,0,0
254,2014-03-26 07:55 ADT,0,0
255,2014-03-26 06:47 ADT,0,0
256,2014-03-26 06:01 ADT,0,0
257,2014-03-26 05:00 ADT,0,0
258,2014-03-26 03:49 ADT,0,0
259,2014-03-26 02:58 ADT,0,0
260,2014-03-26 02:02 ADT,0,0
261,2014-03-26 01:00 ADT,0,0
262,2014-03-26 00:01 ADT,0,0
263,2014-03-25 23:03 ADT,0,0
264,2014-03-25 22:16 ADT,0,0
265,2014-03-25 22:16 ADT,0,0
266,2014-03-25 21:08 ADT,0,0
267,2014-03-25 21:08 ADT,0,10
268,2014-03-25 19:48 ADT,0,10
269,2014-03-25 18:59 ADT,0,10
270,2014-03-25 18:00 ADT,0,0
271,2014-03-25 16:59 ADT,0,0
272,2014-03-25 15:45 ADT,0,0
273,2014-03-25 14:57 ADT,0,0
274,2014-03-25 13:54 ADT,0,0
275,2014-03-25 12:53 ADT,0,10
276,2014-03-25 11:46 ADT,0,0
277,2014-03-25 11:04 ADT,0,0
278,2014-03-25 09:57 ADT,0,10
279,2014-03-25 08:56 ADT,0,0
280,2014-03-25 07:46 ADT,0,0
281,2014-03-25 06:45 ADT,0,0
282,2014-03-25 05:54 ADT,0,0
283,2014-03-25 04:54 ADT,0,0
284,2014-03-25 03:54 ADT,0,0
285,2014-03-25 02:53 ADT,0,0
286,2014-03-25 02:53 ADT,0,0
287,2014-03-25 01:56 ADT,0,0
288,2014-03-25 00:56 ADT,0,0
289,2014-03-24 23:55 ADT,0,0
290,2014-03-24 22:56 ADT,0,0
291,2014-03-24 21:59 ADT,0,0
292,2014-03-24 20:45 ADT,0,0
293,2014-03-24 19:49 ADT,0,0
294,2014-03-24 19:06 ADT,0,0
295,2014-03-24 17:48 ADT,0,0
296,2014-03-24 16:50 ADT,0,0
297,2014-03-24 15:57 ADT,0,0
298,2014-03-24 14:47 ADT,0,0
299,2014-03-24 14:02 ADT,0,0
