,Updated,Commercial Flow,Travellers Flow
40225,2014-04-04 12:47 ADT,0,0
40226,2014-04-04 12:46 ADT,0,0
40227,2014-04-04 12:11 ADT,0,0
40228,2014-04-04 12:01 ADT,0,0
40229,2014-04-04 11:00 ADT,0,0
40230,2014-04-04 09:53 ADT,0,0
40231,2014-04-04 08:59 ADT,0,0
40232,2014-04-04 07:48 ADT,0,0
40233,2014-04-04 06:48 ADT,0,0
40234,2014-04-04 06:00 ADT,0,0
40235,2014-04-04 05:46 ADT,0,0
40236,2014-04-04 04:45 ADT,0,0
40237,2014-04-04 03:56 ADT,0,0
40238,2014-04-04 02:47 ADT,0,0
40239,2014-04-04 01:47 ADT,0,0
40240,2014-04-04 00:47 ADT,0,0
40241,2014-04-03 23:48 ADT,0,0
40242,2014-04-03 22:46 ADT,0,0
40243,2014-04-03 21:47 ADT,0,0
40244,2014-04-03 20:52 ADT,0,0
40245,2014-04-03 20:00 ADT,0,0
40246,2014-04-03 18:59 ADT,0,0
40247,2014-04-03 18:01 ADT,0,0
40248,2014-04-03 16:55 ADT,0,0
40249,2014-04-03 15:55 ADT,0,0
40250,2014-04-03 14:58 ADT,0,0
40251,2014-04-03 13:58 ADT,0,0
40252,2014-04-03 12:57 ADT,0,0
40253,2014-04-03 12:01 ADT,0,0
40254,2014-04-03 11:00 ADT,0,0
40255,2014-04-03 09:56 ADT,0,0
40256,2014-04-03 08:47 ADT,0,0
40257,2014-04-03 07:46 ADT,0,0
40258,2014-04-03 06:52 ADT,0,0
40259,2014-04-03 05:56 ADT,0,0
40260,2014-04-03 04:45 ADT,0,0
40261,2014-04-03 03:45 ADT,0,0
40262,2014-04-03 02:53 ADT,0,0
40263,2014-04-03 02:00 ADT,0,0
40264,2014-04-03 01:01 ADT,0,0
40265,2014-04-03 00:48 ADT,0,0
40266,2014-04-03 00:20 ADT,0,0
40267,2014-04-03 00:19 ADT,0,0
40268,2014-04-03 00:19 ADT,0,0
40269,2014-04-02 22:46 ADT,0,0
40270,2014-04-02 21:51 ADT,0,0
40271,2014-04-02 20:54 ADT,0,0
40272,2014-04-02 20:01 ADT,0,0
40273,2014-04-02 19:30 ADT,0,0
40274,2014-04-02 19:30 ADT,0,0
40275,2014-04-02 18:07 ADT,0,0
40276,2014-04-02 17:59 ADT,0,0
40277,2014-04-02 17:04 ADT,0,0
40278,2014-04-02 15:53 ADT,0,0
40279,2014-04-02 14:59 ADT,0,0
40280,2014-04-02 13:54 ADT,0,0
40281,2014-04-02 12:56 ADT,0,0
40282,2014-04-02 11:57 ADT,0,0
40283,2014-04-02 11:02 ADT,0,0
40284,2014-04-02 09:48 ADT,0,0
40285,2014-04-02 08:58 ADT,0,0
40286,2014-04-02 08:06 ADT,0,0
40287,2014-04-02 07:47 ADT,0,0
40288,2014-04-02 06:52 ADT,0,0
40289,2014-04-02 06:51 ADT,0,0
40290,2014-04-02 04:46 ADT,0,0
40291,2014-04-02 03:47 ADT,0,0
40292,2014-04-02 02:56 ADT,0,0
40293,2014-04-02 01:55 ADT,0,0
40294,2014-04-02 00:49 ADT,0,0
40295,2014-04-01 23:47 ADT,0,0
40296,2014-04-01 23:43 ADT,0,0
40297,2014-04-01 22:49 ADT,0,0
40298,2014-04-01 21:49 ADT,0,0
40299,2014-04-01 20:58 ADT,0,0
40300,2014-04-01 19:53 ADT,0,0
40301,2014-04-01 18:56 ADT,0,0
40302,2014-04-01 18:02 ADT,0,0
40303,2014-04-01 17:02 ADT,0,0
40304,2014-04-01 15:54 ADT,0,0
40305,2014-04-01 14:57 ADT,0,0
40306,2014-04-01 13:49 ADT,0,0
40307,2014-04-01 12:54 ADT,0,0
40308,2014-04-01 11:58 ADT,0,0
40309,2014-04-01 11:01 ADT,0,0
