,Updated,Commercial Flow,Travellers Flow
121330,2014-04-04 14:03 EDT,0,0
121331,2014-04-04 12:03 EDT,0,0
121332,2014-04-04 11:03 EDT,0,0
121333,2014-04-04 10:03 EDT,0,0
121334,2014-04-04 09:03 EDT,0,0
121335,2014-04-04 08:03 EDT,0,0
121336,2014-04-04 07:02 EDT,0,0
121337,2014-04-04 06:02 EDT,0,0
121338,2014-04-04 05:02 EDT,0,0
121339,2014-04-04 04:02 EDT,0,0
121340,2014-04-04 03:01 EDT,0,0
121341,2014-04-04 02:02 EDT,0,0
121342,2014-04-04 01:08 EDT,0,0
121343,2014-04-04 00:01 EDT,0,0
121344,2014-04-03 23:02 EDT,0,0
121345,2014-04-03 22:01 EDT,0,0
121346,2014-04-03 21:01 EDT,0,0
121347,2014-04-03 20:01 EDT,0,0
121348,2014-04-03 19:00 EDT,0,0
121349,2014-04-03 18:03 EDT,0,0
121350,2014-04-03 17:01 EDT,0,0
121351,2014-04-03 16:02 EDT,0,0
121352,2014-04-03 15:01 EDT,0,0
121353,2014-04-03 14:01 EDT,0,0
121354,2014-04-03 13:01 EDT,0,0
121355,2014-04-03 12:01 EDT,0,0
121356,2014-04-03 11:01 EDT,0,0
121357,2014-04-03 10:01 EDT,0,0
121358,2014-04-03 09:00 EDT,0,0
121359,2014-04-03 08:02 EDT,0,0
121360,2014-04-03 08:02 EDT,0,0
121361,2014-04-03 08:01 EDT,0,0
121362,2014-04-03 07:01 EDT,0,0
121363,2014-04-03 07:00 EDT,0,0
121364,2014-04-03 07:00 EDT,0,0
121365,2014-04-03 04:00 EDT,0,0
121366,2014-04-03 03:00 EDT,0,0
121367,2014-04-03 02:00 EDT,0,0
121368,2014-04-03 01:00 EDT,0,0
121369,2014-04-03 00:00 EDT,0,0
121370,2014-04-02 23:00 EDT,0,0
121371,2014-04-02 22:00 EDT,0,0
121372,2014-04-02 21:00 EDT,0,0
121373,2014-04-02 20:03 EDT,0,0
121374,2014-04-02 19:02 EDT,0,0
121375,2014-04-02 18:02 EDT,0,0
121376,2014-04-02 17:02 EDT,0,0
121377,2014-04-02 16:02 EDT,0,0
121378,2014-04-02 15:02 EDT,0,0
121379,2014-04-02 14:02 EDT,0,0
121380,2014-04-02 13:02 EDT,0,0
121381,2014-04-02 12:01 EDT,0,0
121382,2014-04-02 11:01 EDT,0,0
121383,2014-04-02 10:01 EDT,0,0
121384,2014-04-02 09:01 EDT,0,0
121385,2014-04-02 08:01 EDT,0,0
121386,2014-04-02 07:01 EDT,0,0
121387,2014-04-02 06:01 EDT,0,0
121388,2014-04-02 05:00 EDT,0,0
121389,2014-04-02 04:00 EDT,0,0
121390,2014-04-02 03:01 EDT,0,0
121391,2014-04-02 02:01 EDT,0,0
121392,2014-04-02 01:03 EDT,0,0
121393,2014-04-02 00:58 EDT,0,0
121394,2014-04-02 00:05 EDT,0,0
121395,2014-04-01 23:04 EDT,0,0
121396,2014-04-01 22:04 EDT,0,0
121397,2014-04-01 21:04 EDT,0,0
121398,2014-04-01 20:04 EDT,0,0
121399,2014-04-01 19:04 EDT,0,0
121400,2014-04-01 18:04 EDT,0,0
121401,2014-04-01 17:03 EDT,0,0
121402,2014-04-01 16:03 EDT,0,0
121403,2014-04-01 15:03 EDT,0,0
121404,2014-04-01 14:03 EDT,0,0
