,Updated,Commercial Flow,Travellers Flow
611339,2014-04-04 13:50 EDT,20,20
611340,2014-04-04 13:13 EDT,0,0
611341,2014-04-04 12:15 EDT,10,10
611342,2014-04-04 12:15 EDT,10,10
611343,2014-04-04 12:14 EDT,10,10
611344,2014-04-04 12:14 EDT,0,0
611345,2014-04-04 12:04 EDT,0,0
611346,2014-04-04 12:04 EDT,0,0
611347,2014-04-04 12:04 EDT,0,0
611348,2014-04-04 12:04 EDT,0,0
611349,2014-04-04 12:04 EDT,0,0
611350,2014-04-04 06:59 EDT,0,0
611351,2014-04-04 05:46 EDT,0,0
611352,2014-04-04 05:06 EDT,0,0
611353,2014-04-04 04:01 EDT,0,0
611354,2014-04-04 02:48 EDT,0,0
611355,2014-04-04 02:11 EDT,0,0
611356,2014-04-04 01:02 EDT,0,0
611357,2014-04-04 00:01 EDT,0,0
611358,2014-04-03 22:58 EDT,0,0
611359,2014-04-03 22:58 EDT,0,0
611360,2014-04-03 21:00 EDT,0,0
611361,2014-04-03 20:09 EDT,0,0
611362,2014-04-03 19:50 EDT,10,10
611363,2014-04-03 18:45 EDT,0,0
611364,2014-04-03 18:33 EDT,0,0
611365,2014-04-03 18:32 EDT,0,0
611366,2014-04-03 17:05 EDT,0,0
611367,2014-04-03 16:05 EDT,0,0
611368,2014-04-03 16:05 EDT,0,0
611369,2014-04-03 16:05 EDT,0,0
611370,2014-04-03 12:48 EDT,10,10
611371,2014-04-03 12:07 EDT,0,0
611372,2014-04-03 10:52 EDT,10,10
611373,2014-04-03 10:00 EDT,0,0
611374,2014-04-03 09:54 EDT,0,0
611375,2014-04-03 09:04 EDT,0,0
611376,2014-04-03 09:04 EDT,0,0
611377,2014-04-03 06:55 EDT,0,0
611378,2014-04-03 06:03 EDT,0,0
611379,2014-04-03 06:00 EDT,0,0
611380,2014-04-03 04:53 EDT,0,0
611381,2014-04-03 03:53 EDT,0,0
611382,2014-04-03 03:53 EDT,0,0
611383,2014-04-03 03:00 EDT,0,0
611384,2014-04-03 02:00 EDT,0,0
611385,2014-04-03 01:50 EDT,0,0
611386,2014-04-03 01:49 EDT,0,0
611387,2014-04-03 00:55 EDT,0,0
611388,2014-04-02 23:55 EDT,0,0
611389,2014-04-02 23:08 EDT,0,0
611390,2014-04-02 22:01 EDT,0,0
611391,2014-04-02 21:54 EDT,0,0
611392,2014-04-02 21:02 EDT,0,0
611393,2014-04-02 19:57 EDT,0,0
611394,2014-04-02 19:15 EDT,0,0
611395,2014-04-02 19:15 EDT,0,0
611396,2014-04-02 17:56 EDT,0,0
611397,2014-04-02 17:13 EDT,0,0
611398,2014-04-02 15:56 EDT,0,0
611399,2014-04-02 15:02 EDT,0,0
611400,2014-04-02 15:02 EDT,0,0
611401,2014-04-02 12:51 EDT,0,0
611402,2014-04-02 11:58 EDT,20,20
611403,2014-04-02 11:00 EDT,20,20
611404,2014-04-02 09:50 EDT,0,0
611405,2014-04-02 09:04 EDT,0,0
611406,2014-04-02 08:34 EDT,0,0
611407,2014-04-02 08:34 EDT,0,0
611408,2014-04-02 07:03 EDT,0,0
611409,2014-04-02 06:12 EDT,0,0
611410,2014-04-02 06:12 EDT,0,0
611411,2014-04-02 04:46 EDT,0,0
611412,2014-04-02 03:51 EDT,0,0
611413,2014-04-02 02:45 EDT,0,0
611414,2014-04-02 01:52 EDT,0,0
611415,2014-04-02 00:54 EDT,0,0
611416,2014-04-01 23:47 EDT,0,0
611417,2014-04-01 22:50 EDT,0,0
611418,2014-04-01 21:55 EDT,10,10
611419,2014-04-01 21:08 EDT,0,0
611420,2014-04-01 20:13 EDT,0,0
611421,2014-04-01 19:47 EDT,0,0
611422,2014-04-01 18:59 EDT,0,0
611423,2014-04-01 18:54 EDT,0,0
611424,2014-04-01 17:50 EDT,0,10
611425,2014-04-01 17:45 EDT,0,10
611426,2014-04-01 17:04 EDT,10,10
611427,2014-04-01 16:50 EDT,10,10
611428,2014-04-01 15:48 EDT,0,0
611429,2014-04-01 14:50 EDT,0,0
611430,2014-04-01 14:08 EDT,0,0
611431,2014-04-01 13:21 EDT,0,0
611432,2014-04-01 13:00 EDT,0,0
611433,2014-04-01 12:06 EDT,0,0
611434,2014-04-01 12:06 EDT,0,0
611435,2014-04-01 11:19 EDT,0,0
611436,2014-04-01 10:45 EDT,10,0
611437,2014-04-01 09:59 EDT,10,10
611438,2014-04-01 09:45 EDT,0,0
611439,2014-04-01 08:49 EDT,0,0
611440,2014-04-01 08:25 EDT,0,0
611441,2014-04-01 08:25 EDT,0,0
611442,2014-04-01 08:25 EDT,0,0
611443,2014-04-01 07:04 EDT,0,0
611444,2014-04-01 06:00 EDT,0,0
611445,2014-04-01 05:01 EDT,0,0
611446,2014-04-01 04:04 EDT,0,0
611447,2014-04-01 03:00 EDT,0,0
611448,2014-04-01 02:01 EDT,0,0
611449,2014-04-01 01:14 EDT,0,0
611450,2014-04-01 01:01 EDT,0,0
611451,2014-04-01 01:01 EDT,0,0
611452,2014-03-31 22:50 EDT,0,0
611453,2014-03-31 21:47 EDT,0,0
611454,2014-03-31 20:59 EDT,0,0
611455,2014-03-31 19:58 EDT,0,0
611456,2014-03-31 18:57 EDT,0,0
611457,2014-03-31 18:07 EDT,20,20
611458,2014-03-31 17:05 EDT,0,0
611459,2014-03-31 16:04 EDT,10,10
611460,2014-03-31 15:45 EDT,20,20
611461,2014-03-31 15:10 EDT,20,20
611462,2014-03-31 14:54 EDT,20,20
611463,2014-03-31 13:55 EDT,0,0
611464,2014-03-31 13:02 EDT,0,0
611465,2014-03-31 12:46 EDT,10,10
611466,2014-03-31 12:15 EDT,0,0
611467,2014-03-31 11:46 EDT,0,0
611468,2014-03-31 10:56 EDT,0,0
611469,2014-03-31 10:07 EDT,0,0
611470,2014-03-31 08:45 EDT,0,0
611471,2014-03-31 07:47 EDT,0,0
611472,2014-03-31 07:01 EDT,0,0
611473,2014-03-31 06:00 EDT,0,0
611474,2014-03-31 05:00 EDT,0,0
611475,2014-03-31 04:02 EDT,0,0
611476,2014-03-31 03:00 EDT,0,0
