,Updated,Commercial Flow,Travellers Flow
57537,2014-04-04 12:59 ADT,0,0
57538,2014-04-04 11:56 ADT,0,0
57539,2014-04-04 10:57 ADT,0,0
57540,2014-04-04 10:00 ADT,0,0
57541,2014-04-04 09:01 ADT,0,0
57542,2014-04-04 08:14 ADT,0,0
57543,2014-04-04 06:59 ADT,0,0
57544,2014-04-04 06:01 ADT,0,0
57545,2014-04-04 06:01 ADT,0,0
57546,2014-04-04 06:01 ADT,0,0
57547,2014-04-04 05:55 ADT,0,0
57548,2014-04-04 04:59 ADT,0,0
57549,2014-04-04 04:01 ADT,0,0
57550,2014-04-04 03:01 ADT,0,0
57551,2014-04-04 02:55 ADT,0,0
57552,2014-04-04 02:01 ADT,0,0
57553,2014-04-04 01:04 ADT,0,0
57554,2014-04-03 23:58 ADT,0,0
57555,2014-04-03 23:00 ADT,0,0
57556,2014-04-03 22:10 ADT,0,0
57557,2014-04-03 22:00 ADT,0,0
57558,2014-04-03 21:58 ADT,0,0
57559,2014-04-03 21:56 ADT,0,0
57560,2014-04-03 21:38 ADT,0,0
57561,2014-04-03 21:11 ADT,0,0
57562,2014-04-03 20:54 ADT,0,0
57563,2014-04-03 20:43 ADT,0,0
57564,2014-04-03 20:43 ADT,0,0
57565,2014-04-03 20:43 ADT,0,0
57566,2014-04-03 18:00 ADT,0,0
57567,2014-04-03 17:00 ADT,0,0
57568,2014-04-03 16:03 ADT,0,0
57569,2014-04-03 16:03 ADT,0,0
57570,2014-04-03 16:03 ADT,0,0
57571,2014-04-03 15:00 ADT,0,0
57572,2014-04-03 13:59 ADT,0,0
57573,2014-04-03 12:58 ADT,0,0
57574,2014-04-03 11:59 ADT,0,10
57575,2014-04-03 11:01 ADT,0,10
57576,2014-04-03 09:58 ADT,0,0
57577,2014-04-03 09:58 ADT,0,0
57578,2014-04-03 07:58 ADT,0,0
57579,2014-04-03 07:00 ADT,0,0
57580,2014-04-03 05:52 ADT,0,0
57581,2014-04-03 05:37 ADT,0,0
57582,2014-04-03 05:28 ADT,0,0
57583,2014-04-03 05:07 ADT,0,0
57584,2014-04-03 04:58 ADT,0,0
57585,2014-04-03 04:49 ADT,0,0
57586,2014-04-03 03:58 ADT,0,0
57587,2014-04-03 03:00 ADT,0,0
57588,2014-04-03 02:56 ADT,0,0
57589,2014-04-03 01:56 ADT,0,0
57590,2014-04-03 00:56 ADT,0,0
57591,2014-04-02 23:49 ADT,0,0
57592,2014-04-02 23:01 ADT,0,0
57593,2014-04-02 22:01 ADT,0,0
57594,2014-04-02 21:02 ADT,0,0
57595,2014-04-02 20:27 ADT,0,0
57596,2014-04-02 19:55 ADT,0,0
57597,2014-04-02 18:58 ADT,0,0
57598,2014-04-02 17:56 ADT,0,0
57599,2014-04-02 16:59 ADT,0,10
57600,2014-04-02 15:59 ADT,0,10
57601,2014-04-02 14:58 ADT,0,10
57602,2014-04-02 13:58 ADT,0,0
57603,2014-04-02 12:57 ADT,0,0
57604,2014-04-02 11:57 ADT,0,10
57605,2014-04-02 10:58 ADT,0,10
57606,2014-04-02 09:56 ADT,0,0
57607,2014-04-02 08:59 ADT,0,0
57608,2014-04-02 07:58 ADT,0,0
57609,2014-04-02 07:39 ADT,0,0
57610,2014-04-02 07:39 ADT,0,0
57611,2014-04-02 07:39 ADT,0,0
57612,2014-04-02 07:38 ADT,0,0
57613,2014-04-02 07:38 ADT,0,0
57614,2014-04-02 07:38 ADT,0,0
57615,2014-04-02 07:38 ADT,0,0
57616,2014-04-02 07:38 ADT,0,0
57617,2014-04-02 07:38 ADT,0,0
57618,2014-04-02 07:38 ADT,0,0
57619,2014-04-02 07:37 ADT,0,0
57620,2014-04-02 06:58 ADT,0,0
57621,2014-04-02 06:58 ADT,0,0
57622,2014-04-02 06:58 ADT,0,0
57623,2014-04-02 06:58 ADT,0,0
57624,2014-04-02 06:58 ADT,0,0
57625,2014-04-02 06:58 ADT,0,0
57626,2014-04-02 06:58 ADT,0,0
57627,2014-04-02 06:58 ADT,0,0
57628,2014-04-02 06:58 ADT,0,0
57629,2014-04-02 06:58 ADT,0,0
57630,2014-04-01 21:03 ADT,0,0
57631,2014-04-01 20:03 ADT,0,0
57632,2014-04-01 19:03 ADT,0,0
57633,2014-04-01 19:03 ADT,0,0
57634,2014-04-01 17:03 ADT,0,30
57635,2014-04-01 16:02 ADT,0,0
57636,2014-04-01 15:03 ADT,0,0
57637,2014-04-01 13:59 ADT,0,0
57638,2014-04-01 13:02 ADT,0,0
57639,2014-04-01 12:00 ADT,0,30
57640,2014-04-01 10:56 ADT,0,0
57641,2014-04-01 10:01 ADT,0,0
57642,2014-04-01 09:00 ADT,0,0
57643,2014-04-01 08:00 ADT,0,0
57644,2014-04-01 07:00 ADT,0,0
57645,2014-04-01 06:52 ADT,0,0
57646,2014-04-01 06:52 ADT,0,0
57647,2014-04-01 06:51 ADT,0,0
57648,2014-04-01 06:01 ADT,0,0
57649,2014-04-01 05:03 ADT,0,0
57650,2014-04-01 04:02 ADT,0,0
57651,2014-04-01 03:01 ADT,0,0
57652,2014-04-01 02:01 ADT,0,0
57653,2014-04-01 01:01 ADT,0,0
57654,2014-04-01 00:01 ADT,0,0
57655,2014-03-31 23:00 ADT,0,0
57656,2014-03-31 22:02 ADT,0,0
57657,2014-03-31 21:01 ADT,0,0
57658,2014-03-31 20:15 ADT,0,0
57659,2014-03-31 20:15 ADT,0,0
57660,2014-03-31 19:01 ADT,0,0
57661,2014-03-31 18:02 ADT,0,0
57662,2014-03-31 17:00 ADT,0,0
57663,2014-03-31 17:00 ADT,0,0
57664,2014-03-31 15:50 ADT,0,0
57665,2014-03-31 15:50 ADT,0,0
57666,2014-03-31 15:00 ADT,0,0
57667,2014-03-31 15:00 ADT,0,0
57668,2014-03-31 15:00 ADT,0,0
57669,2014-03-31 12:01 ADT,0,0
57670,2014-03-31 11:02 ADT,0,0
57671,2014-03-31 11:01 ADT,0,0
57672,2014-03-31 11:01 ADT,0,0
57673,2014-03-31 09:00 ADT,0,0
57674,2014-03-31 08:00 ADT,0,0
57675,2014-03-31 07:36 ADT,0,0
57676,2014-03-31 07:35 ADT,0,0
57677,2014-03-31 07:00 ADT,0,0
57678,2014-03-31 06:00 ADT,0,0
57679,2014-03-31 05:00 ADT,0,0
57680,2014-03-31 04:00 ADT,0,0
57681,2014-03-31 02:59 ADT,0,0
57682,2014-03-31 01:59 ADT,0,0
57683,2014-03-31 00:59 ADT,0,0
57684,2014-03-31 00:01 ADT,0,0
57685,2014-03-30 22:59 ADT,0,0
57686,2014-03-30 21:59 ADT,0,0
57687,2014-03-30 21:00 ADT,0,0
57688,2014-03-30 19:58 ADT,0,0
57689,2014-03-30 18:59 ADT,0,0
57690,2014-03-30 18:59 ADT,0,0
57691,2014-03-30 16:58 ADT,0,0
57692,2014-03-30 16:08 ADT,0,0
57693,2014-03-30 14:59 ADT,0,0
57694,2014-03-30 14:55 ADT,0,0
57695,2014-03-30 14:55 ADT,0,0
57696,2014-03-30 13:59 ADT,0,0
57697,2014-03-30 13:00 ADT,0,0
57698,2014-03-30 11:58 ADT,0,0
57699,2014-03-30 11:01 ADT,0,0
57700,2014-03-30 10:04 ADT,0,0
57701,2014-03-30 10:01 ADT,0,0
57702,2014-03-30 09:01 ADT,0,0
57703,2014-03-30 09:01 ADT,0,0
57704,2014-03-30 09:01 ADT,0,0
57705,2014-03-30 07:00 ADT,0,0
57706,2014-03-30 06:00 ADT,0,0
57707,2014-03-30 05:00 ADT,0,0
57708,2014-03-30 04:01 ADT,0,0
57709,2014-03-30 03:01 ADT,0,0
57710,2014-03-30 02:02 ADT,0,0
57711,2014-03-30 01:02 ADT,0,0
57712,2014-03-30 00:02 ADT,0,0
57713,2014-03-29 23:02 ADT,0,0
57714,2014-03-29 22:02 ADT,0,0
57715,2014-03-29 21:03 ADT,0,0
57716,2014-03-29 20:38 ADT,0,0
57717,2014-03-29 20:37 ADT,0,0
57718,2014-03-29 20:37 ADT,0,0
57719,2014-03-29 20:37 ADT,0,10
57720,2014-03-29 20:36 ADT,0,10
57721,2014-03-29 19:31 ADT,0,0
57722,2014-03-29 19:31 ADT,0,10
57723,2014-03-29 19:31 ADT,0,10
57724,2014-03-29 19:31 ADT,0,10
57725,2014-03-29 17:02 ADT,0,10
57726,2014-03-29 16:01 ADT,0,10
57727,2014-03-29 14:59 ADT,0,10
57728,2014-03-29 14:03 ADT,0,10
57729,2014-03-29 14:03 ADT,0,10
57730,2014-03-29 13:44 ADT,0,0
57731,2014-03-29 12:00 ADT,0,0
57732,2014-03-29 11:02 ADT,0,0
57733,2014-03-29 10:02 ADT,0,0
57734,2014-03-29 09:03 ADT,0,0
57735,2014-03-29 09:03 ADT,0,0
57736,2014-03-29 07:11 ADT,0,0
57737,2014-03-29 07:04 ADT,0,0
57738,2014-03-29 07:04 ADT,0,0
57739,2014-03-29 07:04 ADT,0,0
57740,2014-03-29 07:03 ADT,0,0
57741,2014-03-29 07:03 ADT,0,0
57742,2014-03-29 07:03 ADT,0,0
57743,2014-03-29 07:03 ADT,0,0
57744,2014-03-29 07:03 ADT,0,0
57745,2014-03-29 07:03 ADT,0,0
57746,2014-03-29 07:03 ADT,0,0
57747,2014-03-29 07:03 ADT,0,0
57748,2014-03-29 07:02 ADT,0,0
57749,2014-03-29 07:02 ADT,0,0
57750,2014-03-29 07:02 ADT,0,0
57751,2014-03-29 07:02 ADT,0,0
57752,2014-03-29 05:51 ADT,0,0
57753,2014-03-29 04:54 ADT,0,0
57754,2014-03-29 04:11 ADT,0,0
57755,2014-03-29 03:10 ADT,0,0
57756,2014-03-29 02:11 ADT,0,0
57757,2014-03-29 02:11 ADT,0,0
57758,2014-03-29 00:01 ADT,0,0
57759,2014-03-28 23:01 ADT,0,0
57760,2014-03-28 23:01 ADT,0,0
57761,2014-03-28 23:01 ADT,0,0
57762,2014-03-28 20:02 ADT,0,0
57763,2014-03-28 18:17 ADT,0,0
57764,2014-03-28 18:17 ADT,0,0
57765,2014-03-28 18:03 ADT,0,0
57766,2014-03-28 18:03 ADT,0,0
57767,2014-03-28 18:02 ADT,0,0
57768,2014-03-28 18:02 ADT,0,0
57769,2014-03-28 17:00 ADT,0,0
57770,2014-03-28 16:01 ADT,0,0
57771,2014-03-28 16:01 ADT,0,0
57772,2014-03-28 16:01 ADT,0,0
57773,2014-03-28 16:01 ADT,0,0
57774,2014-03-28 11:59 ADT,0,0
57775,2014-03-28 10:59 ADT,0,0
57776,2014-03-28 09:59 ADT,0,0
57777,2014-03-28 08:59 ADT,0,0
57778,2014-03-28 08:59 ADT,0,0
57779,2014-03-28 06:58 ADT,0,0
57780,2014-03-28 05:59 ADT,0,0
57781,2014-03-28 04:58 ADT,0,0
57782,2014-03-28 03:58 ADT,0,0
57783,2014-03-28 02:56 ADT,0,0
57784,2014-03-28 02:02 ADT,0,0
57785,2014-03-28 01:01 ADT,0,0
57786,2014-03-28 00:01 ADT,0,0
57787,2014-03-27 23:01 ADT,0,0
57788,2014-03-27 22:01 ADT,0,0
57789,2014-03-27 20:56 ADT,0,0
57790,2014-03-27 20:00 ADT,0,0
57791,2014-03-27 18:59 ADT,0,0
57792,2014-03-27 17:55 ADT,0,0
57793,2014-03-27 17:01 ADT,0,0
57794,2014-03-27 16:12 ADT,0,0
57795,2014-03-27 16:00 ADT,0,0
57796,2014-03-27 16:00 ADT,0,0
57797,2014-03-27 16:00 ADT,0,0
57798,2014-03-27 16:00 ADT,0,0
57799,2014-03-27 11:59 ADT,0,0
57800,2014-03-27 11:59 ADT,0,0
57801,2014-03-27 11:59 ADT,0,0
57802,2014-03-27 11:59 ADT,0,0
57803,2014-03-27 11:59 ADT,0,0
57804,2014-03-27 07:03 ADT,0,0
57805,2014-03-27 05:57 ADT,0,0
57806,2014-03-27 04:59 ADT,0,0
57807,2014-03-27 03:59 ADT,0,0
57808,2014-03-27 02:58 ADT,0,0
57809,2014-03-27 01:51 ADT,0,0
57810,2014-03-27 00:55 ADT,0,0
57811,2014-03-26 23:52 ADT,0,0
57812,2014-03-26 23:00 ADT,0,0
57813,2014-03-26 22:00 ADT,0,0
